"pathway","vanilla_raw_p","genept_raw_p","embedding_rank","projected_rank","vanilla_adjusted_p","vanilla_qval","genept_adjusted_p","genept_qval","vanilla_rank","genept_rank","rank_delta","l2_raw_p","l2_adjusted_p","l2_qval","l2_rank"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",3.81265104892234e-05,0.000313688994347936,23,18,0.00468956079017448,1.52606285259303,0.0385837463047961,1.18894726823464,6,6,0,0.999303153456956,1,0,45
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.420283707542506,0.562150599897062,19,18,1,0,1,0,57,47,-10,1,1,0,46
"KEGG_NITROGEN_METABOLISM",0.974075350370635,0.989331698428969,16,12,1,0,1,0,58,48,-10,1,1,0,47
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.179741341532766,0.00196887460329715,107,102,1,0,0.242171576205549,0.784778205325666,59,13,-46,0.0731481276708723,1,0,48
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.136726085875245,0.890501459250417,22,22,1,0,1,0,60,49,-11,0.999978425151953,1,0,49
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.0233436169134307,0.0351222601892017,20,18,1,0,1,0,61,50,-11,0.999303153456956,1,0,50
"KEGG_PROPANOATE_METABOLISM",0.00196887460329715,0.351986208769717,29,29,0.242171576205549,0.784778205325666,1,0,18,51,33,0.0351222601892017,1,0,51
"KEGG_PURINE_METABOLISM",3.59717677613814e-08,8.03548663493119e-06,126,120,4.42452743464991e-06,2.31389997788891,0.000988364856096536,1.73351743731473,2,3,1,0.0010996776918826,0.13526035610156,0.932110226066041,11
"KEGG_PYRIMIDINE_METABOLISM",0.101341801629482,0.00946978291842922,88,86,1,0,1,0,62,52,-10,0.420283707542506,1,0,52
"KEGG_PYRUVATE_METABOLISM",0.00946978291842922,0.420283707542506,33,33,1,0,1,0,63,53,-10,0.0513887607461245,1,0,53
"KEGG_RETINOL_METABOLISM",0.961267416710618,0.989331698428969,17,14,1,0,1,0,64,54,-10,1,1,0,54
"KEGG_SELENOAMINO_ACID_METABOLISM",0.230392335941705,0.101341801629482,22,20,1,0,1,0,65,55,-10,0.999999993977795,1,0,55
"KEGG_SPHINGOLIPID_METABOLISM",0.696379525408901,0.920433755749286,32,26,1,0,1,0,66,56,-10,0.999999999305237,1,0,56
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.0233436169134307,0.136726085875245,21,20,1,0,1,0,67,57,-10,0.999999999305237,1,0,57
"KEGG_TRYPTOPHAN_METABOLISM",0.0233436169134307,0.0513887607461245,23,18,1,0,1,0,68,58,-10,1,1,0,58
"KEGG_TYROSINE_METABOLISM",0.00196887460329715,0.0513887607461245,24,17,0.242171576205549,0.784778205325666,1,0,19,59,40,0.999995656736981,1,0,59
"REACTOME_ARACHIDONIC_ACID_METABOLISM",0.00196887460329715,0.0034223189265975,35,26,0.242171576205549,0.784778205325666,0.420945227971492,0.613004412282997,20,15,-5,0.696379525408901,1,0,60
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",0.996087934623775,0.983130561728571,23,19,1,0,1,0,69,60,-9,1,1,0,61
"REACTOME_BIOLOGICAL_OXIDATIONS",0.136726085875245,0.0150822934297104,111,95,1,0,1,0,70,61,-9,0.00196887460329715,0.242171576205549,0.784778205325666,14
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",0.562150599897062,0.0351222601892017,66,66,1,0,1,0,71,62,-9,0.0513887607461245,1,0,62
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",0.0034223189265975,0.00577645522630862,21,20,0.420945227971492,0.613004412282997,0.71050399283596,0.385270654364906,24,17,-7,0.999995656736981,1,0,63
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.562150599897062,0.101341801629482,25,25,1,0,1,0,72,63,-9,0.993445062647761,1,0,64
