comparison,comparison_class,pathway,vanilla_adjusted_p,genept_adjusted_p,l2_adjusted_p,detection_state,l2_significant
cd4_0h_vs_12h,CD4 activation,KEGG_PURINE_METABOLISM,1.51223275334187e-29,9.40871050159527e-28,2.66900507097841e-33,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_PYRIMIDINE_METABOLISM,2.20391347296932e-15,2.20391347296932e-15,9.75685339973891e-17,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_PYRUVATE_METABOLISM,7.17128029319931e-19,1.05844841982567e-22,1.95792652398617e-17,Both significant,True
cd4_0h_vs_12h,CD4 activation,KEGG_RETINOL_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_SELENOAMINO_ACID_METABOLISM,1.94845273523497e-07,0.000988364856096536,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_SPHINGOLIPID_METABOLISM,0.0733310834695086,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_STARCH_AND_SUCROSE_METABOLISM,0.13526035610156,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_TRYPTOPHAN_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,KEGG_TYROSINE_METABOLISM,0.420945227971492,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_ARACHIDONIC_ACID_METABOLISM,1.62656340577059e-10,1.94845273523497e-07,0.0196994908385352,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_BIOLOGICAL_OXIDATIONS,2.92785163742493e-36,3.63965929140039e-25,9.40871050159527e-28,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,3.07782730667905e-12,7.70180780217355e-13,4.47273498248259e-11,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,0.0385837463047961,0.242171576205549,1.0,Vanilla-only significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_CHOLESTEROL_BIOSYNTHESIS,5.69202046739247e-07,1.17742273245071e-05,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,3.03765757980741e-05,0.0021860417311304,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,0.0021860417311304,0.000988364856096536,0.0733310834695086,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,4.42452743464991e-06,0.000433380384227113,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,0.0385837463047961,0.0733310834695086,1.0,Vanilla-only significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,1.95792652398617e-17,1.86754216646101e-13,2.20391347296932e-15,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_DISEASES_OF_METABOLISM,9.75685339973891e-17,4.47273498248259e-11,2.20391347296932e-15,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_FATTY_ACID_METABOLISM,1.30887752681783e-19,6.48090930369456e-09,1.62656340577059e-10,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,1.0,1.0,1.0,Neither significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,0.000433380384227113,0.00468956079017448,1.0,Both significant,False
cd4_0h_vs_12h,CD4 activation,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,2.07917574269699e-08,7.59821454952666e-05,0.0196994908385352,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_GLUCONEOGENESIS,1.19441384535048e-43,2.93054974647445e-35,1.05844841982567e-22,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_GLUCOSE_METABOLISM,2.12275205721903e-40,2.66900507097841e-33,3.63965929140039e-25,Both significant,True
cd4_0h_vs_12h,CD4 activation,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,6.48090930369456e-09,0.0097584713570728,0.00468956079017448,Both significant,True
