lineage,pathway,method,significant_0h_vs_12h,significant_12h_vs_24h,significant_0h_vs_24h,descriptive_timing_pattern
CD4,REACTOME_NUCLEOBASE_CATABOLISM,genept,True,False,True,early
CD4,REACTOME_NUCLEOBASE_CATABOLISM,l2,True,False,True,early
CD4,REACTOME_PEPTIDE_HORMONE_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_PEPTIDE_HORMONE_METABOLISM,genept,True,False,True,early
CD4,REACTOME_PEPTIDE_HORMONE_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_PEROXISOMAL_LIPID_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,REACTOME_PEROXISOMAL_LIPID_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_PEROXISOMAL_LIPID_METABOLISM,l2,False,False,False,none
CD4,REACTOME_PHOSPHOLIPID_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_PHOSPHOLIPID_METABOLISM,genept,True,False,True,early
CD4,REACTOME_PHOSPHOLIPID_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_PI_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_PI_METABOLISM,genept,True,False,True,early
CD4,REACTOME_PI_METABOLISM,l2,True,False,True,early
CD4,REACTOME_PYRUVATE_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_PYRUVATE_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_PYRUVATE_METABOLISM,l2,True,False,True,early
CD4,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,vanilla,True,True,True,persistent
CD4,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,genept,True,True,True,persistent
CD4,REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,l2,True,False,True,early
CD4,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,vanilla,True,True,True,persistent
CD4,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,genept,True,True,True,persistent
CD4,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,l2,True,True,True,persistent
CD4,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,vanilla,True,True,True,persistent
CD4,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,genept,False,True,True,late
CD4,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,l2,True,True,True,persistent
CD4,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,vanilla,True,True,True,persistent
CD4,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,genept,True,True,True,persistent
CD4,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,l2,True,True,True,persistent
CD4,REACTOME_SIALIC_ACID_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,REACTOME_SIALIC_ACID_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_SIALIC_ACID_METABOLISM,l2,False,False,False,none
CD4,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,vanilla,False,False,True,endpoint_only
CD4,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,genept,False,False,True,endpoint_only
CD4,REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,l2,False,False,True,endpoint_only
CD4,REACTOME_SPHINGOLIPID_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_SPHINGOLIPID_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_SPHINGOLIPID_METABOLISM,l2,True,False,True,early
CD4,REACTOME_SULFUR_AMINO_ACID_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_SULFUR_AMINO_ACID_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_SULFUR_AMINO_ACID_METABOLISM,l2,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,vanilla,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,genept,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,l2,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,vanilla,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,genept,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,l2,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,vanilla,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,genept,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,l2,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,vanilla,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,genept,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,l2,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_PA,vanilla,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_PA,genept,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_PA,l2,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_PC,vanilla,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_PC,genept,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_PC,l2,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,vanilla,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,genept,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,l2,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,vanilla,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,genept,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,l2,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,vanilla,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,genept,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,l2,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,vanilla,True,False,True,early
CD4,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,genept,True,True,True,persistent
CD4,REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,l2,True,True,True,persistent
CD4,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,vanilla,False,False,False,none
CD4,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,genept,False,False,True,endpoint_only
CD4,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,l2,False,False,False,none
CD4,REACTOME_TP53_REGULATES_METABOLIC_GENES,vanilla,True,True,True,persistent
CD4,REACTOME_TP53_REGULATES_METABOLIC_GENES,genept,True,True,True,persistent
CD4,REACTOME_TP53_REGULATES_METABOLIC_GENES,l2,True,True,True,persistent
CD4,REACTOME_TRIGLYCERIDE_CATABOLISM,vanilla,True,False,True,early
CD4,REACTOME_TRIGLYCERIDE_CATABOLISM,genept,True,False,True,early
CD4,REACTOME_TRIGLYCERIDE_CATABOLISM,l2,True,False,True,early
CD4,REACTOME_TRIGLYCERIDE_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_TRIGLYCERIDE_METABOLISM,genept,True,False,True,early
CD4,REACTOME_TRIGLYCERIDE_METABOLISM,l2,True,False,True,early
CD4,REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,l2,False,False,False,none
