"Pathway","Pval","adjPval","qval","FC"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",3.23438966599575e-76,4.01064318583473e-74,8.56719242074661,-20.9567635050873
"REACTOME_METABOLISM_OF_POLYAMINES",2.93519064722899e-61,3.63963640256395e-59,7.64453674200964,-20.5172010736056
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",4.10355640798625e-49,5.08840994590295e-47,6.80392665357091,-9.84688348163889
"REACTOME_METABOLISM_OF_CARBOHYDRATES",5.64515213957662e-48,6.99998865307501e-46,6.7197397765072,-11.4874757375676
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.71068166951607e-46,1.20412452701999e-43,6.55128449979823,-34.5797986447962
"REACTOME_GLUCONEOGENESIS",9.71068166951607e-46,1.20412452701999e-43,6.55128449979823,-7.18366664163557
"REACTOME_TRIGLYCERIDE_METABOLISM",9.71068166951607e-46,1.20412452701999e-43,6.55128449979823,-2.44242694517682
"HALLMARK_GLYCOLYSIS",1.2142601243758e-44,1.50568255422599e-42,6.46701372981185,-15.4670567641138
"HALLMARK_FATTY_ACID_METABOLISM",1.72581468066588e-42,2.14001020402569e-40,6.29837948648992,-8.3569053443486
"REACTOME_BIOLOGICAL_OXIDATIONS",1.96163468973393e-41,2.43242701527007e-39,6.21401321062538,-4.20228094486989
"REACTOME_GLUCOSE_METABOLISM",1.96163468973393e-41,2.43242701527007e-39,6.21401321062538,-10.812305416589
"REACTOME_GLYCOLYSIS",1.96163468973393e-41,2.43242701527007e-39,6.21401321062538,-9.78528951471737
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1.96163468973393e-41,2.43242701527007e-39,6.21401321062538,-16.7220510860399
"HALLMARK_HEME_METABOLISM",2.15989731613578e-40,2.67827267200837e-38,6.12961215820605,1.96374695332269
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",2.38256076949142e-37,2.95437535416936e-35,5.87618365338337,-5.39571819375915
"KEGG_OXIDATIVE_PHOSPHORYLATION",2.31016677129441e-36,2.86460679640507e-34,5.79162628128132,-19.6755103934052
"REACTOME_TP53_REGULATES_METABOLIC_GENES",2.31016677129441e-36,2.86460679640507e-34,5.79162628128132,-9.3064902135658
"REACTOME_METABOLISM_OF_NUCLEOTIDES",1.97446409297483e-34,2.44833547528879e-32,5.62237752864796,-6.57578546513921
"KEGG_PURINE_METABOLISM",1.74044651351705e-33,2.15815367676114e-31,5.53768161178674,-10.2968128793158
"REACTOME_TRIGLYCERIDE_CATABOLISM",1.48621351989098e-32,1.84290476466482e-30,5.4529347242682,-2.27270419802749
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",1.22945752304217e-31,1.52452732857229e-29,5.36813419970996,-3.72679690388181
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",9.85281827681361e-31,1.22174946632489e-28,5.28327718769372,-3.84090960608091
"KEGG_PYRIMIDINE_METABOLISM",7.64935813137827e-30,9.48520408290905e-28,5.19836063778079,-7.15666910846315
"REACTOME_FATTY_ACID_METABOLISM",4.19198059215845e-28,5.19805593427648e-26,5.02833561444881,-1.31774395471755
"KEGG_PYRUVATE_METABOLISM",2.95907259463446e-27,3.66925001734673e-25,4.94321987120166,-3.68352679675514
"REACTOME_METABOLISM_OF_COFACTORS",2.95907259463446e-27,3.66925001734673e-25,4.94321987120166,-1.42675117334927
"REACTOME_METABOLISM_OF_STEROIDS",1.34067800027187e-25,1.66244072033712e-23,4.77276165672593,-4.83951663462255
"REACTOME_PYRUVATE_METABOLISM",1.34067800027187e-25,1.66244072033712e-23,4.77276165672593,-2.42636791772157
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",5.35115073722742e-24,6.635426914162e-22,4.60197035301143,-3.70631257573464
"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES",5.35115073722742e-24,6.635426914162e-22,4.60197035301143,-2.63070383186775
"KEGG_GLUTATHIONE_METABOLISM",3.22386287426281e-23,3.99758996408588e-21,4.51643684267328,-3.58625537821629
"REACTOME_PEPTIDE_HORMONE_METABOLISM",3.22386287426281e-23,3.99758996408588e-21,4.51643684267328,-0.804752450438143
"HALLMARK_BILE_ACID_METABOLISM",5.83030918146285e-21,7.22958338501393e-19,4.25921198448953,0.264321385684392
"KEGG_ARGININE_AND_PROLINE_METABOLISM",5.83030918146285e-21,7.22958338501393e-19,4.25921198448953,-3.65869208271309
"KEGG_PROPANOATE_METABOLISM",5.83030918146285e-21,7.22958338501393e-19,4.25921198448953,-1.51314511717078
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM",5.83030918146285e-21,7.22958338501393e-19,4.25921198448953,-0.453315157872565
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",5.83030918146285e-21,7.22958338501393e-19,4.25921198448953,-3.59100680515895
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",1.59181018210258e-19,1.9738446258072e-17,4.08713677731417,-1.30346095958213
"REACTOME_DISEASES_OF_METABOLISM",7.93240113799911e-19,9.8361774111189e-17,4.00089660534614,-3.03107432319365
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",3.83002735523869e-18,4.74923392049598e-16,3.91450845432638,-0.336420526223405
"REACTOME_GLYCOGEN_METABOLISM",3.83002735523869e-18,4.74923392049598e-16,3.91450845432638,-0.721276455808817
"REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM",1.79179957151977e-17,2.22183146868451e-15,3.82796145310236,-0.852620383665112
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",8.12221035323039e-17,1.00715408380057e-14,3.74124365444883,-1.71487538870704
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",8.12221035323039e-17,1.00715408380057e-14,3.74124365444883,-2.69530686478577
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",8.12221035323039e-17,1.00715408380057e-14,3.74124365444883,-0.266699614499054
"REACTOME_ARACHIDONIC_ACID_METABOLISM",8.12221035323039e-17,1.00715408380057e-14,3.74124365444883,-0.210881929279971
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",3.56749691091583e-16,4.42369616953563e-14,3.6543418982226,-1.99925318883043
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION",1.51832696460245e-15,1.88272543610704e-13,3.56724165286343,-0.0311319133157512
"REACTOME_NUCLEOBASE_CATABOLISM",1.51832696460245e-15,1.88272543610704e-13,3.56724165286343,-0.431968723404816
"KEGG_BETA_ALANINE_METABOLISM",6.26163235949069e-15,7.76442412576846e-13,3.47992683107413,-1.29385928299967
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",6.26163235949069e-15,7.76442412576846e-13,3.47992683107413,0.0806615033104582
"REACTOME_PHOSPHOLIPID_METABOLISM",6.26163235949069e-15,7.76442412576846e-13,3.47992683107413,0.2706525907498
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",2.5022986233163e-14,3.10285029291221e-12,3.39237957455498,-2.44952491519016
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES",3.63636990445739e-13,4.50909868152716e-11,3.21650590860083,-1.43981710153877
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",1.32240927298422e-12,1.63978749850043e-10,3.12813241869787,1.08664368061748
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",4.66051712619044e-12,5.77904123647615e-10,3.03943155978297,-1.06906200959618
"KEGG_SELENOAMINO_ACID_METABOLISM",5.26903195422322e-11,6.53359962323679e-09,2.86091724495193,-1.35837724652247
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",5.26903195422322e-11,6.53359962323679e-09,2.86091724495193,0.795908868001699
"REACTOME_NICOTINATE_METABOLISM",5.26903195422322e-11,6.53359962323679e-09,2.86091724495193,-0.585415550922953
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",5.26903195422322e-11,6.53359962323679e-09,2.86091724495193,1.33920120966822
"KEGG_ARACHIDONIC_ACID_METABOLISM",1.69038678268048e-10,2.0960796105238e-08,2.77102728723057,0.0212337093415565
"REACTOME_SULFUR_AMINO_ACID_METABOLISM",1.69038678268048e-10,2.0960796105238e-08,2.77102728723057,-0.483947568004156
"REACTOME_METABOLISM_OF_STEROID_HORMONES",5.25612166428945e-10,6.51759086371892e-08,2.6806553126961,-0.325076654283166
"REACTOME_PI_METABOLISM",5.25612166428945e-10,6.51759086371892e-08,2.6806553126961,1.13188323910771
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",5.25612166428945e-10,6.51759086371892e-08,2.6806553126961,-1.97732259885678
"KEGG_GLYCEROLIPID_METABOLISM",1.58410791482518e-09,1.96429381438322e-07,2.58974777747903,0.327281253033206
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",1.58410791482518e-09,1.96429381438322e-07,2.58974777747903,-1.29176352259127
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",4.62765891657924e-09,5.73829705655826e-07,2.49824277707834,0.321242103793756
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",4.62765891657924e-09,5.73829705655826e-07,2.49824277707834,-1.61709677469224
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",4.62765891657924e-09,5.73829705655826e-07,2.49824277707834,0.464622633366638
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",1.31042954439412e-08,1.62493263504871e-06,2.40606829472691,-0.792438846232071
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",1.31042954439412e-08,1.62493263504871e-06,2.40606829472691,-1.59872258020388
"REACTOME_SYNTHESIS_OF_PC",9.5725425402497e-08,1.18699527499096e-05,2.21935824278437,-0.747280405272948
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",6.1774102028672e-07,7.65998865155533e-05,2.02873652152859,-1.02117326749921
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",6.1774102028672e-07,7.65998865155533e-05,2.02873652152859,0.446883860627832
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL",1.49821174952854e-06,0.000185778256941539,1.93158098877372,0.518913919093313
"KEGG_TYROSINE_METABOLISM",3.52341775794401e-06,0.000436903801985057,1.83292503283564,-1.11814895091785
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",8.03548663493119e-06,0.000996400342731468,1.73250285187396,-1.33949794403376
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",8.03548663493119e-06,0.000996400342731468,1.73250285187396,-1.38879099900839
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",8.03548663493119e-06,0.000996400342731468,1.73250285187396,-0.79101895893545
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES",8.03548663493119e-06,0.000996400342731468,1.73250285187396,0.565632074905
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",1.77726970010602e-05,0.00220381442813146,1.62997698694902,-0.186743635289562
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",1.77726970010602e-05,0.00220381442813146,1.62997698694902,-0.0603577631735366
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",3.81265104892234e-05,0.0047276873006637,1.52491024533956,-1.31982050673995
"REACTOME_SPHINGOLIPID_METABOLISM",3.81265104892234e-05,0.0047276873006637,1.52491024533956,0.386442372737562
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS",0.000160158462101912,0.0198596493006371,1.30461811459577,-0.872794551296961
"KEGG_GALACTOSE_METABOLISM",0.000313688994347936,0.0388974352991441,1.18746748710008,-0.29091615304857
"KEGG_BUTANOATE_METABOLISM",0.00059618767048381,0.0739272711399925,1.0635766660269,-0.472777321805604
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",0.00059618767048381,0.0739272711399925,1.0635766660269,-0.349457512959884
"KEGG_NITROGEN_METABOLISM",0.00196887460329715,0.244140450808847,0.78253450903544,-0.645444333664309
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",0.0034223189265975,0.42436754689809,0.610129359853782,-0.0604414878902707
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.00577645522630862,0.716280448062269,0.380679528464463,-0.0459485039623598
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM",0.00577645522630862,0.716280448062269,0.380679528464463,-0.258903395696375
"REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES",0.00577645522630862,0.716280448062269,0.380679528464463,-0.666376384225353
"KEGG_ETHER_LIPID_METABOLISM",0.351986208769717,1,0,-0.0672601298093635
"KEGG_FATTY_ACID_METABOLISM",0.0513887607461245,1,0,-0.334588372140513
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.288162930520753,1,0,0.0907733912372752
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.999905146038811,1,0,-0.033066756488223
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.351986208769717,1,0,0.482710238144916
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.999999999999999,1,0,-0.0147615540536074
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.00946978291842922,1,0,0.00362633345181474
"KEGG_HISTIDINE_METABOLISM",0.420283707542506,1,0,-0.48386624501199
"KEGG_RETINOL_METABOLISM",0.890501459250417,1,0,-0.0751751327058164
"KEGG_SPHINGOLIPID_METABOLISM",0.0233436169134307,1,0,-0.0471717314700445
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.179741341532766,1,0,-0.132354702155607
"KEGG_TRYPTOPHAN_METABOLISM",0.101341801629482,1,0,-0.249614349231887
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",0.8532336682836,1,0,-0.0799406961856538
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM",0.136726085875245,1,0,-0.247215992697016
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",0.0150822934297104,1,0,0.446183393437023
"REACTOME_HS_GAG_BIOSYNTHESIS",1,1,0,0.143253450048287
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",0.49107566468588,1,0,0.1990835654644
