"Pathway","Pval","adjPval","qval","FC"
"REACTOME_PI_METABOLISM",0.000313688994347936,0.0388974352991441,1.18746748710008,0.659831708146582
"REACTOME_TRIGLYCERIDE_CATABOLISM",0.000313688994347936,0.0388974352991441,1.18746748710008,-0.248189765830843
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",0.00059618767048381,0.0739272711399925,1.0635766660269,0.297629776161822
"REACTOME_PYRUVATE_METABOLISM",0.00059618767048381,0.0739272711399925,1.0635766660269,-1.37085669719966
"REACTOME_SULFUR_AMINO_ACID_METABOLISM",0.0010996776918826,0.136360033793442,0.930221962659477,-1.21275058665986
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL",0.0010996776918826,0.136360033793442,0.930221962659477,0.43494198601692
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.00196887460329715,0.244140450808847,0.78253450903544,-0.997729344385175
"KEGG_BUTANOATE_METABOLISM",0.00196887460329715,0.244140450808847,0.78253450903544,-1.16646348788709
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.00196887460329715,0.244140450808847,0.78253450903544,-1.3033282040978
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.00196887460329715,0.244140450808847,0.78253450903544,-3.79663212003901
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",0.00196887460329715,0.244140450808847,0.78253450903544,-3.14430300975314
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.0034223189265975,0.42436754689809,0.610129359853782,-1.95504022978599
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",0.0034223189265975,0.42436754689809,0.610129359853782,-1.04513777360527
"REACTOME_SPHINGOLIPID_METABOLISM",0.0034223189265975,0.42436754689809,0.610129359853782,-0.315269341105761
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",0.0034223189265975,0.42436754689809,0.610129359853782,-0.481854345104652
"REACTOME_PHOSPHOLIPID_METABOLISM",0.00577645522630862,0.716280448062269,0.380679528464463,-0.380198646881938
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.0731481276708723,1,0,-0.247480514331098
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.0150822934297104,1,0,-1.04495785806789
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.0351222601892017,1,0,-0.512762394696646
"KEGG_BETA_ALANINE_METABOLISM",0.00946978291842922,1,0,-0.840904873744283
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.0351222601892017,1,0,-0.391532049801401
"KEGG_ETHER_LIPID_METABOLISM",0.961267416710618,1,0,-0.182267553949667
"KEGG_GALACTOSE_METABOLISM",0.696379525408901,1,0,-0.817684668307789
"KEGG_GLYCEROLIPID_METABOLISM",0.101341801629482,1,0,-0.409853088547903
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.136726085875245,1,0,-0.406643175437839
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.890501459250417,1,0,-0.652197789973325
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.983130561728571,1,0,0.278662862856974
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.999999999305237,1,0,0.0748635940293451
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.999999983078982,1,0,-0.0980966318306605
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",1,1,0,-0.00664783964447603
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.8532336682836,1,0,-0.399804283877089
"KEGG_HISTIDINE_METABOLISM",0.993445062647761,1,0,-0.142044292751204
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.288162930520753,1,0,-0.317794900290506
"KEGG_NITROGEN_METABOLISM",0.999303153456956,1,0,0.137145996904095
"KEGG_RETINOL_METABOLISM",0.993445062647761,1,0,-0.0483666665846411
"KEGG_SELENOAMINO_ACID_METABOLISM",0.230392335941705,1,0,-0.747419284097266
"KEGG_SPHINGOLIPID_METABOLISM",0.920433755749286,1,0,-0.0278549266141429
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.288162930520753,1,0,-0.262582417747423
"KEGG_TRYPTOPHAN_METABOLISM",0.0513887607461245,1,0,-1.02115108207469
"KEGG_TYROSINE_METABOLISM",0.179741341532766,1,0,-0.650608553083016
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",0.961267416710618,1,0,-0.114509402477653
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",0.00946978291842922,1,0,-0.596609909098343
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",0.49107566468588,1,0,-0.662910894298053
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.0513887607461245,1,0,-0.402750890467255
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",0.8532336682836,1,0,0.178479578375518
