"Pathway","Pval","adjPval","qval"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",5.01519391851161e-20,6.2188404589544e-18,4.14804659865793
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",2.05995286063461e-19,2.55434154718692e-17,4.07341638340892
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",2.05995286063461e-19,2.55434154718692e-17,4.07341638340892
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",2.05995286063461e-19,2.55434154718692e-17,4.07341638340892
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",8.26276623354586e-19,1.02458301295969e-16,3.99868138875443
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",3.23665431480077e-18,4.01345135035296e-16,3.92383511338339
"REACTOME_METABOLISM_OF_STEROID_HORMONES",1.23815231196184e-17,1.53530886683268e-15,3.84887051508645
"REACTOME_PI_METABOLISM",1.23815231196184e-17,1.53530886683268e-15,3.84887051508645
"KEGG_GLYCEROLIPID_METABOLISM",2.40023862698042e-17,2.97629589745572e-15,3.81134148224489
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",4.62554786462979e-17,5.73567935214094e-15,3.77377995324233
"KEGG_BUTANOATE_METABOLISM",1.68759531678754e-16,2.09261819281655e-14,3.69855512373796
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",1.68759531678754e-16,2.09261819281655e-14,3.69855512373796
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI",1.68759531678754e-16,2.09261819281655e-14,3.69855512373796
"REACTOME_SYNTHESIS_OF_PC",2.09240898617221e-15,2.59458714285354e-13,3.54766567454346
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE",7.11099436939377e-15,8.81763301804827e-13,3.4719804118225
"REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS",1.29934157671865e-14,1.61118355513113e-12,3.43407265203894
"REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS",1.29934157671865e-14,1.61118355513113e-12,3.43407265203894
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",2.36021413519253e-14,2.92666552763874e-12,3.39611938951452
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",4.2620183741414e-14,5.28490278393534e-12,3.35811896709347
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES",1.36538093681568e-13,1.69307236165144e-11,3.28196960373116
"KEGG_STARCH_AND_SUCROSE_METABOLISM",2.42231203475194e-13,3.00366692309241e-11,3.24381692269367
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",4.27213993654074e-13,5.29745352131052e-11,3.20560959023467
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",7.49032852103697e-13,9.28800736608584e-11,3.16734548933982
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES",1.30556104402904e-12,1.61889569459601e-10,3.12902239236578
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",2.2622226923578e-12,2.80515613852367e-10,3.09063795362012
"KEGG_SELENOAMINO_ACID_METABOLISM",3.89687380490954e-12,4.83212351808783e-10,3.05218970132399
"KEGG_TRYPTOPHAN_METABOLISM",6.67330746678416e-12,8.27490125881236e-10,3.01367502889561
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",1.92276516470247e-11,2.38422880423106e-09,2.9364352656835
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",5.41127011806731e-11,6.70997494640346e-09,2.8588947342268
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS",5.41127011806731e-11,6.70997494640346e-09,2.8588947342268
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",8.99826860575774e-11,1.11578530711396e-08,2.82000343293503
"REACTOME_NICOTINATE_METABOLISM",3.99434459586918e-10,4.95298729887778e-08,2.70280091492011
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",3.99434459586918e-10,4.95298729887778e-08,2.70280091492011
"KEGG_TYROSINE_METABOLISM",6.48805283790721e-10,8.04518551900494e-08,2.66354349256385
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM",6.48805283790721e-10,8.04518551900494e-08,2.66354349256385
"REACTOME_SIALIC_ACID_METABOLISM",1.6819770276448e-09,2.08565151427955e-07,2.58471628131734
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",6.71923827513126e-09,8.33185546116276e-07,2.46561519152632
