"comparison","group_a","group_b","pathway","detection_state","n_paired_genes","gene","gene_index","vanilla_raw_p_full","vanilla_raw_p_masked","vanilla_score_full","vanilla_score_masked","vanilla_delta_score","genept_raw_p_full","genept_raw_p_masked","genept_score_full","genept_score_masked","genept_delta_score","vanilla_adjusted_p_full","vanilla_adjusted_p_masked","genept_adjusted_p_full","genept_adjusted_p_masked","vanilla_qval_full","vanilla_qval_masked","genept_qval_full","genept_qval_masked","vanilla_significant_full","vanilla_significant_masked","genept_significant_full","genept_significant_masked","vanilla_detection_flip","genept_detection_flip","mean_expression_group_A","mean_expression_group_B","expression_difference","detection_fraction_group_A","detection_fraction_group_B","embedding_norm","embedding_to_pathway_mean_cosine"
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"ABHD3",1,3.59717677613814e-08,1.58410791482518e-09,7.44403821911369,8.80021523611983,-1.35617701700613,0.0513887607461245,0.0034223189265975,1.28913185531754,2.46567952091782,-1.17654766560029,4.42452743464991e-06,1.94845273523497e-07,1,0.420945227971492,2.31389997788891,2.59042662985857,0,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0434033280793712,0.0567829503935671,0.0133796223141959,0.046,0.076,1.00000004234792,0.900317228868582
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"ABHD4",2,3.59717677613814e-08,3.59717677613814e-08,7.44403821911369,7.44403821911369,0,0.0513887607461245,0.0513887607461245,1.28913185531754,1.28913185531754,0,4.42452743464991e-06,4.42452743464991e-06,1,1,2.31389997788891,2.31389997788891,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.00086949541664989,0.00086949541664989,0,0.002,0.999999969970146,0.920597534690986
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"ACP6",3,3.59717677613814e-08,4.62765891657924e-09,7.44403821911369,8.33463865838632,-0.890600439272627,0.0513887607461245,0.00946978291842922,1.28913185531754,2.02365997647813,-0.734528121160595,4.42452743464991e-06,5.69202046739247e-07,1,1,2.31389997788891,2.49894648741163,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0388211280547572,0.0291634724547011,-0.0096576556000561,0.04,0.044,0.999999994311894,0.932818539538939
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"AGK",4,3.59717677613814e-08,5.25612166428945e-10,7.44403821911369,9.27933459064804,-1.83529637153435,0.0513887607461245,0.00577645522630862,1.28913185531754,2.23833858855416,-0.949206733236626,4.42452743464991e-06,6.46502964707602e-08,1,0.71050399283596,2.31389997788891,2.68131114927169,0,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0769541028629438,0.082851444166358,0.00589734130341424,0.094,0.132,0.999999994312877,0.93190834277932
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"AGPAT1",5,3.59717677613814e-08,1.58410791482518e-09,7.44403821911369,8.80021523611983,-1.35617701700613,0.0513887607461245,0.230392335941705,1.28913185531754,0.63753197192238,0.651599883395156,4.42452743464991e-06,1.94845273523497e-07,1,1,2.31389997788891,2.59042662985857,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0466967591117768,0.044570405123528,-0.00212635398824883,0.052,0.074,1.00000008413741,0.942254046749989
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"AGPAT2",6,3.59717677613814e-08,5.25612166428945e-10,7.44403821911369,9.27933459064804,-1.83529637153435,0.0513887607461245,0.136726085875245,1.28913185531754,0.864148618783426,0.42498323653411,4.42452743464991e-06,6.46502964707602e-08,1,1,2.31389997788891,2.68131114927169,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.0210004616858526,0.0754124015235884,0.0544119398377358,0.026,0.118,0.999999991437322,0.938242809758388
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"AGPAT3",7,3.59717677613814e-08,3.59717677613814e-08,7.44403821911369,7.44403821911369,0,0.0513887607461245,0.00577645522630862,1.28913185531754,2.23833858855416,-0.949206733236626,4.42452743464991e-06,4.42452743464991e-06,1,0.71050399283596,2.31389997788891,2.31389997788891,0,0.385270654364906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.173380301840829,0.177989338291535,0.00460903645070507,0.192,0.256,0.999999976010759,0.932433001654273
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"AGPAT4",8,3.59717677613814e-08,3.59717677613814e-08,7.44403821911369,7.44403821911369,0,0.0513887607461245,0.0150822934297104,1.28913185531754,1.82153261416016,-0.532400758842622,4.42452743464991e-06,4.42452743464991e-06,1,1,2.31389997788891,2.31389997788891,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.00490661166924034,0.00614099622371396,0.00123438455447362,0.006,0.008,0.999999950124285,0.931801689919529
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"AGPAT5",9,3.59717677613814e-08,9.5725425402497e-08,7.44403821911369,7.01897269497718,0.425065524136514,0.0513887607461245,0.0034223189265975,1.28913185531754,2.46567952091782,-1.17654766560029,4.42452743464991e-06,1.17742273245071e-05,1,0.420945227971492,2.31389997788891,2.2201503515613,0,0.613004412282997,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.201732394233047,0.197315270994622,-0.00441712323842469,0.234,0.266,0.99999995329995,0.937190997960907
"cd4_12h_vs_24h","cd4_12h","cd4_24h","REACTOME_PHOSPHOLIPID_METABOLISM","Vanilla-only significant",170,"ARF1",10,3.59717677613814e-08,1.59178638580836e-11,7.44403821911369,10.7981152140414,-3.35407699492767,0.0513887607461245,0.0351222601892017,1.28913185531754,1.45441754412943,-0.165285688811893,4.42452743464991e-06,1.95789725454428e-09,1,1,2.31389997788891,2.95096765529579,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.752130456701459,0.891305433720424,0.139174977018965,0.624,0.712,0.999999982809784,0.898026730458035
