dataset_index,dataset_gene,match_type,embedding_key
9188,FAS,exact,FAS
9189,LIPA,exact,LIPA
9190,IFIT2,exact,IFIT2
9191,IFIT3,exact,IFIT3
9192,IFIT1,exact,IFIT1
9193,IFIT5,exact,IFIT5
9194,PANK1,exact,PANK1
9195,AL157400.4,unmatched,
9196,KIF20B,exact,KIF20B
9197,LINC00865,exact,LINC00865
9198,RPP30,exact,RPP30
9199,PCGF5,exact,PCGF5
9200,HECTD2,exact,HECTD2
9201,TNKS2-AS1,unmatched,
9202,TNKS2,exact,TNKS2
9203,FGFBP3,exact,FGFBP3
9204,AL359198.1,unmatched,
9205,BTAF1,exact,BTAF1
9206,CPEB3,exact,CPEB3
9207,MARCH5,unmatched,
9208,IDE,exact,IDE
9209,KIF11,exact,KIF11
9210,EXOC6,exact,EXOC6
9211,PDE6C,exact,PDE6C
9212,FRA10AC1,exact,FRA10AC1
9213,SLC35G1,exact,SLC35G1
9214,PLCE1,exact,PLCE1
9215,NOC3L,exact,NOC3L
9216,HELLS,exact,HELLS
9217,SORBS1,exact,SORBS1
9218,ALDH18A1,exact,ALDH18A1
9219,TCTN3,exact,TCTN3
9220,ENTPD1,exact,ENTPD1
9221,ENTPD1-AS1,exact,ENTPD1-AS1
9222,CCNJ,exact,CCNJ
9223,ZNF518A,exact,ZNF518A
9224,DNTT,exact,DNTT
9225,TM9SF3,exact,TM9SF3
9226,LCOR,exact,LCOR
9227,ARHGAP19,exact,ARHGAP19
9228,FRAT1,exact,FRAT1
9229,FRAT2,exact,FRAT2
9230,RRP12,exact,RRP12
9231,AL355490.2,unmatched,
9232,PGAM1,exact,PGAM1
9233,EXOSC1,exact,EXOSC1
9234,ZDHHC16,exact,ZDHHC16
9235,MMS19,exact,MMS19
9236,UBTD1,exact,UBTD1
9237,MORN4,exact,MORN4
9238,PI4K2A,exact,PI4K2A
9239,AVPI1,exact,AVPI1
9240,MARVELD1,exact,MARVELD1
9241,ZFYVE27,exact,ZFYVE27
9242,SFRP5,exact,SFRP5
9243,GOLGA7B,exact,GOLGA7B
9244,R3HCC1L,exact,R3HCC1L
9245,LOXL4,exact,LOXL4
9246,PYROXD2,exact,PYROXD2
9247,HPS1,exact,HPS1
9248,CNNM1,exact,CNNM1
9249,GOT1,exact,GOT1
9250,AL391684.1,unmatched,
9251,SLC25A28,exact,SLC25A28
9252,AL353719.1,unmatched,
9253,ENTPD7,exact,ENTPD7
9254,CUTC,exact,CUTC
9255,COX15,exact,COX15
9256,ABCC2,exact,ABCC2
9257,DNMBP,exact,DNMBP
9258,ERLIN1,exact,ERLIN1
9259,CHUK,exact,CHUK
9260,AL138921.2,unmatched,
9261,AL138921.1,unmatched,
9262,CWF19L1,exact,CWF19L1
9263,BLOC1S2,exact,BLOC1S2
9264,OLMALINC,exact,OLMALINC
9265,SEC31B,exact,SEC31B
9266,NDUFB8,exact,NDUFB8
9267,HIF1AN,exact,HIF1AN
9268,AL138762.1,unmatched,
9269,SLF2,exact,SLF2
9270,MRPL43,exact,MRPL43
9271,SEMA4G,exact,SEMA4G
9272,TWNK,exact,TWNK
9273,LZTS2,exact,LZTS2
9274,PDZD7,exact,PDZD7
9275,SFXN3,exact,SFXN3
9276,BTRC,exact,BTRC
9277,DPCD,exact,DPCD
9278,POLL,exact,POLL
9279,FBXW4,exact,FBXW4
9280,NPM3,exact,NPM3
9281,OGA,exact,OGA
9282,KCNIP2-AS1,unmatched,
9283,KCNIP2,exact,KCNIP2
9284,ARMH3,exact,ARMH3
9285,HPS6,exact,HPS6
9286,LDB1,exact,LDB1
9287,PPRC1,exact,PPRC1
9288,NOLC1,exact,NOLC1
9289,GBF1,exact,GBF1
9290,NFKB2,exact,NFKB2
9291,PSD,exact,PSD
9292,FBXL15,exact,FBXL15
9293,CUEDC2,exact,CUEDC2
9294,C10orf95,exact,C10orf95
9295,MFSD13A,exact,MFSD13A
9296,ACTR1A,exact,ACTR1A
9297,AL121928.1,unmatched,
