comparison,group_a,group_b,pathway,detection_state,n_paired_genes,gene,gene_index,vanilla_raw_p_full,vanilla_raw_p_masked,vanilla_score_full,vanilla_score_masked,vanilla_delta_score,genept_raw_p_full,genept_raw_p_masked,genept_score_full,genept_score_masked,genept_delta_score,vanilla_adjusted_p_full,vanilla_adjusted_p_masked,genept_adjusted_p_full,genept_adjusted_p_masked,vanilla_qval_full,vanilla_qval_masked,genept_qval_full,genept_qval_masked,vanilla_significant_full,vanilla_significant_masked,genept_significant_full,genept_significant_masked,vanilla_detection_flip,genept_detection_flip,mean_expression_group_A,mean_expression_group_B,expression_difference,detection_fraction_group_A,detection_fraction_group_B,embedding_norm,embedding_to_pathway_mean_cosine,vanilla_supporting_rank,vanilla_absolute_rank,vanilla_absolute_percentile,genept_supporting_rank,genept_absolute_rank,genept_absolute_percentile,absolute_percentile_difference_genept_minus_vanilla
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,AMT,1,0.00059618767048381,0.0010996776918826,3.22461700967912,2.95873458497628,0.26588242470284,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0.0,0.0733310834695086,0.13526035610156,0.00468956079017448,0.00468956079017448,1.06522856619588,0.932110226066041,1.52606285259303,1.52606285259303,False,False,True,True,False,False,0.0517573928266836,0.0193345688703687,-0.0324228239563149,0.05,0.02,0.999999930291903,0.915413999902299,8.5,12.5,0.28125,13.5,15.5,0.09375,-0.1875
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,ASNS,2,0.00059618767048381,0.562150599897062,3.22461700967912,0.250147321543855,2.97446968813527,3.81265104892234e-05,0.49107566468588,4.41877294150378,0.308851586850884,4.1099213546529,0.0733310834695086,1.0,0.00468956079017448,1.0,1.06522856619588,0.0,1.52606285259303,0.0,False,False,True,False,False,True,0.0486523230958153,0.367305775852066,0.31865345275625,0.042,0.37,1.00000001123957,0.919447161201006,2.0,2.0,0.9375,2.0,2.0,0.9375,0.0
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA13,3,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,3.81265104892234e-05,7.93371655046569e-05,4.41877294150378,4.1005233197136,0.318249621790182,0.0733310834695086,0.242171576205549,0.00468956079017448,0.0097584713570728,1.06522856619588,0.784778205325666,1.52606285259303,1.417962696362,False,False,True,True,False,False,0.00889880929762333,0.00177494259226188,-0.00712386670536145,0.008,0.002,0.999999995888041,0.93417890333848,6.0,7.0,0.625,9.0,11.0,0.375,-0.25
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA2,4,0.00059618767048381,0.00196887460329715,3.22461700967912,2.70578194299357,0.518835066685553,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0.0,0.0733310834695086,0.242171576205549,0.00468956079017448,0.00468956079017448,1.06522856619588,0.784778205325666,1.52606285259303,1.52606285259303,False,False,True,True,False,False,0.0,0.00609148824789654,0.00609148824789654,0.0,0.006,1.00000007792823,0.952583031215605,6.0,7.0,0.625,13.5,15.5,0.09375,-0.53125
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA5A,5,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0.0,3.81265104892234e-05,0.00059618767048381,4.41877294150378,3.22461700967912,1.19415593182466,0.0733310834695086,0.0733310834695086,0.00468956079017448,0.0733310834695086,1.06522856619588,1.06522856619588,1.52606285259303,1.06522856619588,False,False,True,False,False,True,0.00616960613802527,0.00496184887086491,-0.00120775726716037,0.006,0.006,1.00000001557418,0.946437496175773,11.5,15.5,0.09375,5.0,5.0,0.75,0.65625
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA5B,6,0.00059618767048381,0.00946978291842922,3.22461700967912,2.02365997647813,1.20095703320099,3.81265104892234e-05,0.00577645522630862,4.41877294150378,2.23833858855416,2.18043435294962,0.0733310834695086,1.0,0.00468956079017448,0.71050399283596,1.06522856619588,0.0,1.52606285259303,0.385270654364906,False,False,True,False,False,True,0.11746789400649,0.0480546173884662,-0.0694132766180238,0.108,0.046,0.999999988673763,0.94119603662544,3.0,3.0,0.875,3.0,3.0,0.875,0.0
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA6,7,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,3.81265104892234e-05,8.03548663493119e-06,4.41877294150378,5.09498781691362,-0.676214875409841,0.0733310834695086,0.0385837463047961,0.00468956079017448,0.000988364856096536,1.06522856619588,1.18894726823464,1.52606285259303,1.73351743731473,False,True,True,True,True,False,0.0595909600524097,0.0195292681969251,-0.0400616918554845,0.054,0.016,0.999999983029371,0.938842902200495,15.0,10.0,0.4375,16.5,7.5,0.59375,0.15625
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA7,8,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0.0,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0.0,0.0733310834695086,0.0733310834695086,0.00468956079017448,0.00468956079017448,1.06522856619588,1.06522856619588,1.52606285259303,1.52606285259303,False,False,True,True,False,False,0.0,0.0,0.0,0.0,0.0,1.00000004708899,0.951565433968185,11.5,15.5,0.09375,13.5,15.5,0.09375,0.0
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CA9,9,0.00059618767048381,0.00059618767048381,3.22461700967912,3.22461700967912,0.0,3.81265104892234e-05,3.81265104892234e-05,4.41877294150378,4.41877294150378,0.0,0.0733310834695086,0.0733310834695086,0.00468956079017448,0.00468956079017448,1.06522856619588,1.06522856619588,1.52606285259303,1.52606285259303,False,False,True,True,False,False,0.0,0.0,0.0,0.0,0.0,1.00000001375841,0.937154123605136,11.5,15.5,0.09375,13.5,15.5,0.09375,0.0
cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17,CPS1,10,0.00059618767048381,0.000313688994347936,3.22461700967912,3.503500718082,-0.278883708402879,3.81265104892234e-05,7.93371655046569e-05,4.41877294150378,4.1005233197136,0.318249621790182,0.0733310834695086,0.0385837463047961,0.00468956079017448,0.0097584713570728,1.06522856619588,1.18894726823464,1.52606285259303,1.417962696362,False,True,True,True,True,False,0.0082446706442938,0.017751698154536,0.00950702751024221,0.008,0.018,0.999999966292613,0.910906947448935,15.0,10.0,0.4375,9.0,11.0,0.375,-0.0625
