comparison,pathway,detection_state,gene,vanilla_delta_score,genept_delta_score,vanilla_supporting_rank,genept_supporting_rank,vanilla_absolute_rank,genept_absolute_rank,vanilla_absolute_percentile,genept_absolute_percentile,absolute_percentile_difference_genept_minus_vanilla
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NCOA2,-0.411606399943558,-2.98457654926703,84.5,97.5,56.5,2.5,0.4336734693877551,0.9846938775510204,0.5510204081632654
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NCOA3,0.398172736087466,0.758937488761304,50.5,13.5,68.5,48.5,0.3112244897959184,0.5153061224489796,0.20408163265306117
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NCOA6,1.15433043387586,-0.875906310034476,19.5,68.5,26.5,41.5,0.7397959183673469,0.5867346938775511,-0.15306122448979587
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NCOR1,-0.836671924080072,0.758937488761304,90.0,13.5,35.0,48.5,0.6530612244897959,0.5153061224489796,-0.1377551020408163
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NCOR2,1.51237847812,0.986278421124963,9.5,9.0,13.5,36.0,0.8724489795918368,0.6428571428571429,-0.22959183673469385
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NFYA,0.0,-1.19415593182466,70.5,79.5,88.5,27.5,0.10714285714285714,0.7295918367346939,0.6224489795918368
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NFYB,0.0,-0.570833100414529,70.5,60.0,88.5,56.0,0.10714285714285714,0.4387755102040816,0.33163265306122447
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NFYC,2.50684297532002,-0.875906310034476,3.0,68.5,4.0,41.5,0.9693877551020408,0.5867346938775511,-0.3826530612244897
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NPAS2,0.0,-0.570833100414529,70.5,60.0,88.5,56.0,0.10714285714285714,0.4387755102040816,0.33163265306122447
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NR1D1,0.398172736087466,-1.8703708072345,50.5,91.5,68.5,9.5,0.3112244897959184,0.9132653061224489,0.6020408163265305
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NR1H2,-0.411606399943558,2.08882022390511,84.5,1.0,56.5,7.0,0.4336734693877551,0.9387755102040817,0.5051020408163266
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NR1H3,0.0,-0.278883708402879,70.5,52.5,88.5,74.5,0.10714285714285714,0.25,0.14285714285714285
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,NRF1,1.51237847812,-0.570833100414529,9.5,60.0,13.5,56.0,0.8724489795918368,0.4387755102040816,-0.43367346938775514
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,PEX11A,0.398172736087466,0.758937488761304,50.5,13.5,68.5,48.5,0.3112244897959184,0.5153061224489796,0.20408163265306117
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,PLIN2,1.15433043387586,-0.875906310034476,19.5,68.5,26.5,41.5,0.7397959183673469,0.5867346938775511,-0.15306122448979587
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,PPARA,1.51237847812,-1.19415593182466,9.5,79.5,13.5,27.5,0.8724489795918368,0.7295918367346939,-0.1428571428571429
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,PPARGC1B,0.398172736087466,-0.875906310034476,50.5,68.5,68.5,41.5,0.3112244897959184,0.5867346938775511,0.2755102040816327
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,RGL1,0.0,0.758937488761304,70.5,13.5,88.5,48.5,0.10714285714285714,0.5153061224489796,0.4081632653061224
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,RORA,0.0,0.26588242470284,70.5,34.5,88.5,84.5,0.10714285714285714,0.14795918367346939,0.04081632653061225
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,RXRA,0.398172736087466,-0.875906310034476,50.5,68.5,68.5,41.5,0.3112244897959184,0.5867346938775511,0.2755102040816327
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,RXRB,-0.836671924080072,-0.278883708402879,90.0,52.5,35.0,74.5,0.6530612244897959,0.25,-0.40306122448979587
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SIN3A,0.782939493679303,0.26588242470284,33.5,34.5,45.5,84.5,0.5459183673469388,0.14795918367346939,-0.3979591836734694
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SIN3B,-1.7272723633527,-0.875906310034476,97.0,68.5,8.0,41.5,0.9285714285714286,0.5867346938775511,-0.34183673469387754
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SLC27A1,0.398172736087466,0.518835066685553,50.5,22.0,68.5,66.0,0.3112244897959184,0.336734693877551,0.025510204081632626
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SMARCD3,0.0,0.26588242470284,70.5,34.5,88.5,84.5,0.10714285714285714,0.14795918367346939,0.04081632653061225
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SP1,0.782939493679303,-1.8703708072345,33.5,91.5,45.5,9.5,0.5459183673469388,0.9132653061224489,0.36734693877551017
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SREBF1,0.782939493679303,0.518835066685553,33.5,22.0,45.5,66.0,0.5459183673469388,0.336734693877551,-0.20918367346938777
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,SREBF2,-1.27522002901868,0.758937488761304,94.0,13.5,19.0,48.5,0.8163265306122449,0.5153061224489796,-0.30102040816326536
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TBL1X,0.782939493679303,-1.8703708072345,33.5,91.5,45.5,9.5,0.5459183673469388,0.9132653061224489,0.36734693877551017
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TBL1XR1,-0.411606399943558,0.26588242470284,84.5,34.5,56.5,84.5,0.4336734693877551,0.14795918367346939,-0.2857142857142857
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TGS1,1.51237847812,0.26588242470284,9.5,34.5,13.5,84.5,0.8724489795918368,0.14795918367346939,-0.7244897959183674
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,THRAP3,2.50684297532002,-2.22841885147863,3.0,94.5,4.0,5.5,0.9693877551020408,0.9540816326530612,-0.015306122448979553
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TIAM2,0.398172736087466,-1.19415593182466,50.5,79.5,68.5,27.5,0.3112244897959184,0.7295918367346939,0.4183673469387755
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TNFRSF21,0.0,0.0,70.5,45.5,88.5,95.5,0.10714285714285714,0.03571428571428571,-0.07142857142857142
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TRIB3,0.398172736087466,0.0,50.5,45.5,68.5,95.5,0.3112244897959184,0.03571428571428571,-0.2755102040816327
cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,Vanilla-only significant,TXNRD1,2.50684297532002,-0.875906310034476,3.0,68.5,4.0,41.5,0.9693877551020408,0.5867346938775511,-0.3826530612244897
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ACER1,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ACER2,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ACER3,0.676214875409841,0.0,8.5,29.5,25.5,64.5,0.6549295774647887,0.1056338028169014,-0.5492957746478874
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ALDH3A2,0.344741153767997,-0.153335069543525,17.0,42.0,42.0,46.0,0.4225352112676056,0.36619718309859156,-0.056338028169014065
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ALDH3B1,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSA,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSB,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSD,-0.358048044244133,-0.153335069543525,51.5,42.0,32.5,46.0,0.5563380281690141,0.36619718309859156,-0.19014084507042256
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSG,-0.358048044244133,-0.496035066722033,51.5,56.5,32.5,22.5,0.5563380281690141,0.6971830985915493,0.14084507042253513
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ARSK,0.0,-0.153335069543525,35.0,42.0,60.0,46.0,0.16901408450704225,0.36619718309859156,0.1971830985915493
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ASAH1,-0.358048044244133,0.936012210152677,51.5,1.0,32.5,9.0,0.5563380281690141,0.8873239436619719,0.33098591549295775
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ASAH2,0.0,-0.153335069543525,35.0,42.0,60.0,46.0,0.16901408450704225,0.36619718309859156,0.1971830985915493
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,B3GALNT1,0.344741153767997,0.390444764577966,17.0,9.0,42.0,27.0,0.4225352112676056,0.6338028169014085,0.21126760563380287
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,B4GALNT1,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CERK,-0.729438984440692,0.390444764577966,60.0,9.0,18.0,27.0,0.7605633802816901,0.6338028169014085,-0.12676056338028163
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CERS2,0.0,-0.318620758355418,35.0,50.5,60.0,33.5,0.16901408450704225,0.5422535211267606,0.37323943661971837
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CERS3,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CERS4,0.0,-0.88786319070412,35.0,62.5,60.0,11.5,0.16901408450704225,0.852112676056338,0.6830985915492958
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CERS5,0.0,0.271648166990585,35.0,13.5,60.0,39.5,0.16901408450704225,0.45774647887323944,0.2887323943661972
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CERS6,0.344741153767997,-0.153335069543525,17.0,42.0,42.0,46.0,0.4225352112676056,0.36619718309859156,-0.056338028169014065
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CPTP,0.994464497200023,0.141585406577167,4.5,18.5,12.5,53.5,0.8380281690140845,0.2605633802816901,-0.5774647887323944
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CSNK1G2,0.344741153767997,-1.32988273514381,17.0,67.0,42.0,6.0,0.4225352112676056,0.9295774647887324,0.5070422535211268
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,CTSA,-1.11420574203253,-0.318620758355418,66.0,50.5,10.0,33.5,0.8732394366197183,0.5422535211267606,-0.33098591549295764
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,DEGS1,-2.78759850713867,0.826945198923127,71.0,2.0,2.0,14.0,0.9859154929577465,0.8169014084507042,-0.16901408450704225
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,DEGS2,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ESYT1,0.344741153767997,-0.153335069543525,17.0,42.0,42.0,46.0,0.4225352112676056,0.36619718309859156,-0.056338028169014065
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ESYT2,-0.729438984440692,-0.318620758355418,60.0,50.5,18.0,33.5,0.7605633802816901,0.5422535211267606,-0.2183098591549295
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ESYT3,0.0,-0.153335069543525,35.0,42.0,60.0,46.0,0.16901408450704225,0.36619718309859156,0.1971830985915493
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GALC,0.344741153767997,-0.318620758355418,17.0,50.5,42.0,33.5,0.4225352112676056,0.5422535211267606,0.11971830985915499
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GBA2,-1.11420574203253,0.498264813851631,66.0,6.0,10.0,20.0,0.8732394366197183,0.7323943661971831,-0.14084507042253513
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GLA,0.0,0.271648166990585,35.0,13.5,60.0,39.5,0.16901408450704225,0.45774647887323944,0.2887323943661972
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GLB1,-0.729438984440692,0.0,60.0,29.5,18.0,64.5,0.7605633802816901,0.1056338028169014,-0.6549295774647887
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GLB1L,-0.729438984440692,-0.685735828386147,60.0,59.5,18.0,15.5,0.7605633802816901,0.795774647887324,0.03521126760563387
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GLTP,0.676214875409841,0.595434897901747,8.5,4.0,25.5,18.0,0.6549295774647887,0.7605633802816901,0.10563380281690138
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,GM2A,0.344741153767997,0.595434897901747,17.0,4.0,42.0,18.0,0.4225352112676056,0.7605633802816901,0.3380281690140845
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,HEXA,0.0,-0.318620758355418,35.0,50.5,60.0,33.5,0.16901408450704225,0.5422535211267606,0.37323943661971837
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,HEXB,-1.92398487806355,-0.153335069543525,70.0,42.0,3.0,46.0,0.971830985915493,0.36619718309859156,-0.6056338028169015
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,KDSR,-0.358048044244133,-0.496035066722033,51.5,56.5,32.5,22.5,0.5563380281690141,0.6971830985915493,0.14084507042253513
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,NEU1,0.0,0.390444764577966,35.0,9.0,60.0,27.0,0.16901408450704225,0.6338028169014085,0.46478873239436624
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,NEU3,0.0,0.271648166990585,35.0,13.5,60.0,39.5,0.16901408450704225,0.45774647887323944,0.2887323943661972
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ORMDL1,1.59148709883162,0.0,1.5,29.5,4.5,64.5,0.9507042253521126,0.1056338028169014,-0.8450704225352113
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ORMDL2,1.59148709883162,-2.36770393230799,1.5,71.5,4.5,1.5,0.9507042253521126,0.9929577464788732,0.04225352112676062
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,ORMDL3,0.0,-0.88786319070412,35.0,62.5,60.0,11.5,0.16901408450704225,0.852112676056338,0.6830985915492958
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,OSBP,0.0,-1.32988273514381,35.0,67.0,60.0,6.0,0.16901408450704225,0.9295774647887324,0.7605633802816901
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,PLPP1,-1.11420574203253,0.0,66.0,29.5,10.0,64.5,0.8732394366197183,0.1056338028169014,-0.7676056338028169
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,PLPP2,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,PPM1L,0.344741153767997,0.271648166990585,17.0,13.5,42.0,39.5,0.4225352112676056,0.45774647887323944,0.03521126760563381
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,PRKD2,-0.729438984440692,0.141585406577167,60.0,18.5,18.0,53.5,0.7605633802816901,0.2605633802816901,-0.5
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,PRKD3,-0.358048044244133,-1.10254180278015,51.5,65.0,32.5,8.0,0.5563380281690141,0.9014084507042254,0.34507042253521125
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,PSAP,-1.51237847812,-2.08882022390511,68.5,70.0,6.5,3.0,0.9225352112676056,0.971830985915493,0.04929577464788737
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SAMD8,-1.51237847812,-1.56998515721956,68.5,69.0,6.5,4.0,0.9225352112676056,0.9577464788732394,0.035211267605633756
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SGMS1,0.676214875409841,0.390444764577966,8.5,9.0,25.5,27.0,0.6549295774647887,0.6338028169014085,-0.021126760563380254
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SGPL1,-0.729438984440692,-0.88786319070412,60.0,62.5,18.0,11.5,0.7605633802816901,0.852112676056338,0.09154929577464788
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SGPP1,-0.358048044244133,0.390444764577966,51.5,9.0,32.5,27.0,0.5563380281690141,0.6338028169014085,0.07746478873239437
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SGPP2,-0.729438984440692,0.141585406577167,60.0,18.5,18.0,53.5,0.7605633802816901,0.2605633802816901,-0.5
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SMPD1,0.676214875409841,0.595434897901747,8.5,4.0,25.5,18.0,0.6549295774647887,0.7605633802816901,0.10563380281690138
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SMPD2,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SMPD3,0.0,0.141585406577167,35.0,18.5,60.0,53.5,0.16901408450704225,0.2605633802816901,0.09154929577464788
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SMPD4,-0.358048044244133,-0.88786319070412,51.5,62.5,32.5,11.5,0.5563380281690141,0.852112676056338,0.2957746478873239
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SPHK1,0.344741153767997,-0.496035066722033,17.0,56.5,42.0,22.5,0.4225352112676056,0.6971830985915493,0.27464788732394363
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SPHK2,0.344741153767997,-0.496035066722033,17.0,56.5,42.0,22.5,0.4225352112676056,0.6971830985915493,0.27464788732394363
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SPTLC1,-4.677026094825,-0.318620758355418,72.0,50.5,1.0,33.5,1.0,0.5422535211267606,-0.4577464788732394
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SPTLC2,-0.729438984440692,-0.153335069543525,60.0,42.0,18.0,46.0,0.7605633802816901,0.36619718309859156,-0.39436619718309857
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SPTLC3,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SPTSSA,-0.729438984440692,0.141585406577167,60.0,18.5,18.0,53.5,0.7605633802816901,0.2605633802816901,-0.5
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,STS,-0.358048044244133,0.141585406577167,51.5,18.5,32.5,53.5,0.5563380281690141,0.2605633802816901,-0.295774647887324
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SUMF1,0.344741153767997,-0.318620758355418,17.0,50.5,42.0,33.5,0.4225352112676056,0.5422535211267606,0.11971830985915499
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,SUMF2,1.29953770681997,-2.36770393230799,3.0,71.5,8.0,1.5,0.9014084507042254,0.9929577464788732,0.09154929577464788
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,UGCG,0.676214875409841,-1.32988273514381,8.5,67.0,25.5,6.0,0.6549295774647887,0.9295774647887324,0.27464788732394363
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,UGT8,0.0,0.0,35.0,29.5,60.0,64.5,0.16901408450704225,0.1056338028169014,-0.06338028169014084
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,VAPA,0.994464497200023,-0.318620758355418,4.5,50.5,12.5,33.5,0.8380281690140845,0.5422535211267606,-0.2957746478873239
cd4_0h_vs_12h,REACTOME_SPHINGOLIPID_METABOLISM,Vanilla-only significant,VAPB,0.676214875409841,-0.685735828386147,8.5,59.5,25.5,15.5,0.6549295774647887,0.795774647887324,0.14084507042253525
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,ADH5,-0.570833100414529,-0.729438984440692,18.5,18.5,5.5,7.5,0.775,0.675,-0.09999999999999998
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,ALDH3B1,0.0,0.0,11.5,11.0,17.5,19.0,0.175,0.1,-0.07499999999999998
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,CYP2D6,0.0,0.344741153767997,11.5,7.0,17.5,15.0,0.175,0.3,0.125
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,CYP2E1,0.0,0.0,11.5,11.0,17.5,19.0,0.175,0.1,-0.07499999999999998
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,CYP3A43,0.0,-0.358048044244133,11.5,15.0,17.5,12.0,0.175,0.45,0.275
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,CYP3A5,-0.278883708402879,-1.11420574203253,16.5,21.0,7.5,3.0,0.675,0.9,0.22499999999999998
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,FMO4,-0.570833100414529,0.676214875409841,18.5,5.0,5.5,10.0,0.775,0.55,-0.22499999999999998
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,FMO5,0.0,0.0,11.5,11.0,17.5,19.0,0.175,0.1,-0.07499999999999998
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,GSTA4,0.0,-0.729438984440692,11.5,18.5,17.5,7.5,0.175,0.675,0.5
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,GSTK1,0.758937488761304,3.95919103113961,2.0,1.0,4.0,1.0,0.85,1.0,0.15000000000000002
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,GSTM2,0.26588242470284,-0.358048044244133,5.0,15.0,11.0,12.0,0.5,0.45,-0.04999999999999999
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,GSTM3,-1.8703708072345,-0.358048044244133,20.0,15.0,2.0,12.0,0.95,0.45,-0.49999999999999994
cd4_12h_vs_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,GenePT-only significant,GSTM4,-0.278883708402879,-0.729438984440692,16.5,18.5,7.5,7.5,0.675,0.675,0.0
