comparison,pathway,detection_state,gene,vanilla_delta_score,genept_delta_score,vanilla_supporting_rank,genept_supporting_rank,vanilla_absolute_rank,genept_absolute_rank,vanilla_absolute_percentile,genept_absolute_percentile,absolute_percentile_difference_genept_minus_vanilla
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PGM2,-0.358048044244133,0.0,10.5,5.5,14.5,21.5,0.35714285714285715,0.023809523809523808,-0.33333333333333337
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PRPS1,0.0,-2.38920587392005,7.0,21.5,20.0,1.5,0.09523809523809523,0.9761904761904762,0.8809523809523809
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,PRPS2,-1.11420574203253,-1.71299099851021,18.0,20.0,7.0,3.0,0.7142857142857143,0.9047619047619048,0.19047619047619047
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,RBKS,-0.358048044244133,-0.252952641982712,10.5,9.0,14.5,16.0,0.35714285714285715,0.2857142857142857,-0.07142857142857145
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,RPE,0.0,0.0,7.0,5.5,20.0,21.5,0.09523809523809523,0.023809523809523808,-0.07142857142857142
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,RPIA,0.0,-1.08966816710008,7.0,16.5,20.0,6.5,0.09523809523809523,0.7380952380952381,0.6428571428571429
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,TALDO1,0.344741153767997,-0.252952641982712,3.5,9.0,16.5,16.0,0.2619047619047619,0.2857142857142857,0.02380952380952378
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,TKT,1.59148709883162,-1.39474137672003,1.5,18.5,4.5,4.5,0.8333333333333334,0.8333333333333334,0.0
cd4_0h_vs_12h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,Vanilla-only significant,TKTL1,-0.729438984440692,-0.797718775088431,14.0,14.0,11.0,10.0,0.5238095238095238,0.5714285714285714,0.04761904761904756
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,ALAD,1.32977058917583,0.0,4.5,13.5,5.5,16.5,0.7631578947368421,0.18421052631578946,-0.5789473684210527
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,ALAS1,-0.954796553051974,0.0,19.0,13.5,8.0,16.5,0.631578947368421,0.18421052631578946,-0.4473684210526315
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,ALAS2,0.0,0.0,14.5,13.5,19.5,16.5,0.02631578947368421,0.18421052631578946,0.15789473684210525
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,BLVRA,0.570833100414529,0.758937488761304,8.0,4.5,10.0,5.5,0.5263157894736842,0.7631578947368421,0.23684210526315796
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,BLVRB,0.29194939201165,1.20095703320099,11.5,2.5,16.5,3.5,0.18421052631578946,0.868421052631579,0.6842105263157895
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,COX10,1.32977058917583,0.26588242470284,4.5,8.5,5.5,11.5,0.7631578947368421,0.4473684210526316,-0.31578947368421056
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,COX15,-0.305073209619947,0.518835066685553,17.0,6.5,13.0,8.5,0.3684210526315789,0.6052631578947368,0.2368421052631579
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,CP,0.0,0.0,14.5,13.5,19.5,16.5,0.02631578947368421,0.18421052631578946,0.15789473684210525
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,CPOX,-0.305073209619947,-0.278883708402879,17.0,18.0,13.0,10.0,0.3684210526315789,0.5263157894736842,0.15789473684210525
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,EARS2,0.570833100414529,0.26588242470284,8.0,8.5,10.0,11.5,0.5263157894736842,0.4473684210526316,-0.0789473684210526
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,FECH,-1.6575857510641,-0.570833100414529,20.0,19.0,2.0,7.0,0.9473684210526315,0.6842105263157895,-0.26315789473684204
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,FTH1,3.63829610382463,2.91576542282824,1.0,1.0,1.0,1.0,1.0,1.0,0.0
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,GUSB,1.55711152153949,0.518835066685553,2.0,6.5,3.0,8.5,0.8947368421052632,0.6052631578947368,-0.2894736842105263
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,HCCS,-0.305073209619947,1.20095703320099,17.0,2.5,13.0,3.5,0.3684210526315789,0.868421052631579,0.5
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,HMBS,0.570833100414529,0.0,8.0,13.5,10.0,16.5,0.5263157894736842,0.18421052631578946,-0.3421052631578947
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,HMOX2,1.32977058917583,-1.8703708072345,4.5,20.0,5.5,2.0,0.7631578947368421,0.9473684210526315,0.18421052631578938
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,MMAB,0.29194939201165,0.0,11.5,13.5,16.5,16.5,0.18421052631578946,0.18421052631578946,0.0
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,PPOX,1.32977058917583,0.758937488761304,4.5,4.5,5.5,5.5,0.7631578947368421,0.7631578947368421,0.0
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,UROD,0.29194939201165,0.0,11.5,13.5,16.5,16.5,0.18421052631578946,0.18421052631578946,0.0
cd4_0h_vs_12h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,Vanilla-only significant,UROS,0.29194939201165,0.0,11.5,13.5,16.5,16.5,0.18421052631578946,0.18421052631578946,0.0
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,ACAD8,-0.29194939201165,0.240102422075751,13.0,9.0,12.0,16.0,0.45,0.25,-0.2
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,ACADSB,-0.915272223421779,1.25136439886414,16.0,2.0,7.0,5.0,0.7,0.8,0.10000000000000009
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,ACAT1,0.0,0.884249328833414,9.0,3.0,19.0,7.0,0.1,0.7,0.6
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,ALDH6A1,-1.24674594506362,-2.04446472015206,17.0,20.0,6.0,3.0,0.75,0.9,0.15000000000000002
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,AUH,-0.29194939201165,0.0,13.0,12.5,12.0,19.5,0.45,0.075,-0.375
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,BCAT1,-0.597022601631597,0.467443354439411,15.0,5.5,9.0,11.5,0.6,0.475,-0.125
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,BCAT2,0.544766133105719,0.467443354439411,3.0,5.5,10.0,11.5,0.55,0.475,-0.07500000000000007
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,BCKDHA,0.0,0.0,9.0,12.5,19.0,19.5,0.1,0.075,-0.02500000000000001
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,BCKDHB,-2.32092608327231,0.467443354439411,18.5,5.5,4.5,11.5,0.825,0.475,-0.35
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,BCKDK,0.0,0.467443354439411,9.0,5.5,19.0,11.5,0.1,0.475,0.375
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,DBT,0.278883708402879,-0.252952641982712,5.0,15.0,15.0,14.0,0.3,0.35,0.04999999999999999
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,DLD,-3.51547197689517,-3.50341161595258,21.0,21.0,1.0,1.0,1.0,1.0,0.0
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,ECHS1,-3.10386557695162,-0.518835066685553,20.0,16.5,2.0,8.5,0.95,0.625,-0.32499999999999996
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,HIBADH,0.0,-1.71299099851021,9.0,19.0,19.0,4.0,0.1,0.85,0.75
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,HIBCH,0.0,0.0,9.0,12.5,19.0,19.5,0.1,0.075,-0.02500000000000001
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,HSD17B10,2.50928933888516,2.25230759064061,1.0,1.0,3.0,2.0,0.9,0.95,0.04999999999999993
cd4_0h_vs_12h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,Vanilla-only significant,IVD,0.278883708402879,0.0,5.0,12.5,15.0,19.5,0.3,0.075,-0.22499999999999998
