dataset_index,dataset_gene,match_type,embedding_key
6748,SLC45A4,exact,SLC45A4
6749,PTP4A3,exact,PTP4A3
6750,TSNARE1,exact,TSNARE1
6751,AC134682.1,unmatched,
6752,ADGRB1,exact,ADGRB1
6753,JRK,exact,JRK
6754,THEM6,exact,THEM6
6755,LY6E-DT,unmatched,
6756,LY6E,exact,LY6E
6757,ZFP41,exact,ZFP41
6758,GLI4,exact,GLI4
6759,MINCR,exact,MINCR
6760,ZNF696,exact,ZNF696
6761,AC138696.2,unmatched,
6762,TOP1MT,exact,TOP1MT
6763,RHPN1-AS1,exact,RHPN1-AS1
6764,RHPN1,exact,RHPN1
6765,ZC3H3,exact,ZC3H3
6766,AC067930.4,unmatched,
6767,GSDMD,exact,GSDMD
6768,MROH6,exact,MROH6
6769,NAPRT,exact,NAPRT
6770,EEF1D,exact,EEF1D
6771,TIGD5,exact,TIGD5
6772,PYCR3,exact,PYCR3
6773,TSTA3,official_alias,TSTA3
6774,ZNF623,exact,ZNF623
6775,ZNF707,exact,ZNF707
6776,FAM83H,exact,FAM83H
6777,SCRIB,exact,SCRIB
6778,PUF60,exact,PUF60
6779,NRBP2,exact,NRBP2
6780,EPPK1,exact,EPPK1
6781,PLEC,exact,PLEC
6782,PARP10,exact,PARP10
6783,GRINA,exact,GRINA
6784,AC109322.1,unmatched,
6785,EXOSC4,exact,EXOSC4
6786,GPAA1,exact,GPAA1
6787,CYC1,exact,CYC1
6788,SHARPIN,exact,SHARPIN
6789,MAF1,exact,MAF1
6790,WDR97,exact,WDR97
6791,HGH1,exact,HGH1
6792,MROH1,exact,MROH1
6793,BOP1,exact,BOP1
6794,SCX,exact,SCX
6795,HSF1,exact,HSF1
6796,DGAT1,exact,DGAT1
6797,SLC52A2,exact,SLC52A2
6798,FBXL6,exact,FBXL6
6799,ADCK5,exact,ADCK5
6800,CPSF1,exact,CPSF1
6801,AC233992.3,unmatched,
6802,SLC39A4,exact,SLC39A4
6803,VPS28,exact,VPS28
6804,TONSL,exact,TONSL
6805,CYHR1,unmatched,
6806,KIFC2,exact,KIFC2
6807,PPP1R16A,exact,PPP1R16A
6808,GPT,exact,GPT
6809,MFSD3,exact,MFSD3
6810,RECQL4,exact,RECQL4
6811,LRRC14,exact,LRRC14
6812,LRRC24,exact,LRRC24
6813,C8orf82,exact,C8orf82
6814,ZNF251,exact,ZNF251
6815,ZNF34,exact,ZNF34
6816,RPL8,exact,RPL8
6817,ZNF517,exact,ZNF517
6818,ZNF7,exact,ZNF7
6819,COMMD5,exact,COMMD5
6820,ZNF250,exact,ZNF250
6821,ZNF16,exact,ZNF16
6822,ZNF252P-AS1,exact,ZNF252P-AS1
6823,C8orf33,exact,C8orf33
6824,WASHC1,exact,WASHC1
6825,AL928970.1,unmatched,
6826,CBWD1,unmatched,
6827,DOCK8,exact,DOCK8
6828,KANK1,exact,KANK1
6829,AL136979.1,unmatched,
6830,SMARCA2,exact,SMARCA2
6831,VLDLR,exact,VLDLR
6832,PUM3,exact,PUM3
6833,RFX3,unmatched,
6834,RFX3-AS1,unmatched,
6835,AL354977.2,unmatched,
6836,GLIS3,exact,GLIS3
6837,SPATA6L,exact,SPATA6L
6838,PLPP6,exact,PLPP6
6839,CDC37L1-DT,exact,CDC37L1-DT
6840,CDC37L1,exact,CDC37L1
6841,AK3,exact,AK3
6842,RCL1,exact,RCL1
6843,JAK2,exact,JAK2
6844,IGHEP2,exact,IGHEP2
6845,RLN2,exact,RLN2
6846,RLN1,exact,RLN1
6847,PLGRKT,exact,PLGRKT
6848,CD274,exact,CD274
6849,RIC1,exact,RIC1
6850,ERMP1,exact,ERMP1
6851,KIAA2026,exact,KIAA2026
6852,RANBP6,exact,RANBP6
6853,UHRF2,exact,UHRF2
6854,AL354707.1,unmatched,
6855,KDM4C,exact,KDM4C
6856,DMAC1,exact,DMAC1
6857,LINC01235,exact,LINC01235
6858,AL159169.3,unmatched,
6859,AL159169.2,unmatched,
6860,ZDHHC21,exact,ZDHHC21
6861,TTC39B,exact,TTC39B
6862,SNAPC3,exact,SNAPC3
6863,PSIP1,exact,PSIP1
6864,CCDC171,exact,CCDC171
6865,SAXO1,exact,SAXO1
6866,RRAGA,exact,RRAGA
6867,HAUS6,exact,HAUS6
6868,PLIN2,exact,PLIN2
6869,DENND4C,exact,DENND4C
6870,AL161909.2,unmatched,
6871,AL391834.1,unmatched,
6872,AL391834.2,unmatched,
6873,RPS6,exact,RPS6
6874,ACER2,exact,ACER2
6875,MLLT3,exact,MLLT3
6876,FOCAD,exact,FOCAD
6877,HACD4,exact,HACD4
6878,KLHL9,exact,KLHL9
6879,MTAP,exact,MTAP
6880,AL359922.2,unmatched,
6881,CDKN2A,exact,CDKN2A
6882,CAAP1,exact,CAAP1
6883,PLAA,exact,PLAA
6884,IFT74,exact,IFT74
6885,MOB3B,exact,MOB3B
6886,C9orf72,exact,C9orf72
6887,LINC01242,unmatched,
6888,ACO1,exact,ACO1
6889,DDX58,unmatched,
6890,TOPORS,exact,TOPORS
6891,SMIM27,exact,SMIM27
6892,NDUFB6,exact,NDUFB6
6893,APTX,exact,APTX
6894,DNAJA1,exact,DNAJA1
6895,SMU1,exact,SMU1
6896,B4GALT1,exact,B4GALT1
6897,B4GALT1-AS1,exact,B4GALT1-AS1
6898,BAG1,exact,BAG1
6899,CHMP5,exact,CHMP5
6900,NFX1,exact,NFX1
6901,AQP3,exact,AQP3
6902,NOL6,exact,NOL6
6903,UBE2R2,exact,UBE2R2
6904,UBAP2,exact,UBAP2
6905,DCAF12,exact,DCAF12
6906,UBAP1,exact,UBAP1
6907,NUDT2,exact,NUDT2
6908,C9orf24,unmatched,
6909,FAM219A,exact,FAM219A
6910,RPP25L,exact,RPP25L
6911,DCTN3,exact,DCTN3
6912,SIGMAR1,exact,SIGMAR1
6913,GALT,exact,GALT
6914,IL11RA,exact,IL11RA
6915,AL162231.1,unmatched,
6916,DNAJB5,exact,DNAJB5
6917,VCP,exact,VCP
6918,FANCG,exact,FANCG
6919,PIGO,exact,PIGO
6920,STOML2,exact,STOML2
6921,FAM214B,official_alias,FAM214B
6922,TESK1,exact,TESK1
6923,CD72,exact,CD72
6924,SIT1,exact,SIT1
6925,RMRP,unmatched,
6926,CCDC107,exact,CCDC107
6927,ARHGEF39,exact,ARHGEF39
6928,TPM2,exact,TPM2
6929,TLN1,exact,TLN1
6930,CREB3,exact,CREB3
6931,GBA2,exact,GBA2
6932,RGP1,exact,RGP1
6933,AL133410.1,unmatched,
6934,NPR2,exact,NPR2
6935,SPAG8,exact,SPAG8
6936,HINT2,exact,HINT2
6937,TMEM8B,exact,TMEM8B
6938,RECK,exact,RECK
6939,GLIPR2,exact,GLIPR2
6940,CLTA,exact,CLTA
6941,GNE,exact,GNE
6942,RNF38,exact,RNF38
6943,EBLN3P,exact,EBLN3P
6944,ZCCHC7,exact,ZCCHC7
6945,GRHPR,exact,GRHPR
6946,ZBTB5,exact,ZBTB5
6947,POLR1E,exact,POLR1E
6948,FBXO10,exact,FBXO10
6949,TOMM5,exact,TOMM5
6950,FRMPD1,exact,FRMPD1
6951,TRMT10B,exact,TRMT10B
6952,EXOSC3,exact,EXOSC3
6953,DCAF10,exact,DCAF10
6954,SLC25A51,exact,SLC25A51
6955,ALDH1B1,exact,ALDH1B1
6956,FAM95C,exact,FAM95C
6957,ANKRD18A,exact,ANKRD18A
6958,FAM201A,unmatched,
6959,GLIDR,exact,GLIDR
6960,FAM95B1,exact,FAM95B1
6961,BMS1P14,official_alias,BMS1P14
6962,CBWD6,unmatched,
6963,AL845472.1,unmatched,
6964,BX088651.4,unmatched,
6965,AL935212.1,unmatched,
6966,FAM27C,exact,FAM27C
6967,AL391987.4,unmatched,
6968,LINC01410,exact,LINC01410
6969,AL512625.2,unmatched,
6970,AL512625.1,unmatched,
6971,ANKRD20A4,unmatched,
6972,FOXD4L5,exact,FOXD4L5
6973,CBWD5,unmatched,
6974,ZNF658,exact,ZNF658
6975,CBWD3,unmatched,
6976,AL161457.2,unmatched,
6977,FAM122A,official_alias,FAM122A
6978,FXN,exact,FXN
6979,TJP2,exact,TJP2
6980,PTAR1,exact,PTAR1
6981,C9orf135,unmatched,
6982,MAMDC2-AS1,unmatched,
6983,SMC5-AS1,official_alias,SMC5-AS1
6984,SMC5,exact,SMC5
6985,KLF9,exact,KLF9
6986,TRPM3,exact,TRPM3
6987,CEMIP2,exact,CEMIP2
6988,ABHD17B,exact,ABHD17B
6989,C9orf85,exact,C9orf85
6990,ZFAND5,exact,ZFAND5
6991,ANXA1,exact,ANXA1
6992,TRPM6,exact,TRPM6
6993,C9orf40,exact,C9orf40
6994,C9orf41-AS1,official_alias,C9orf41-AS1
6995,CARNMT1,exact,CARNMT1
6996,NMRK1,exact,NMRK1
6997,OSTF1,exact,OSTF1
6998,PCSK5,exact,PCSK5
6999,RFK,exact,RFK
7000,GCNT1,exact,GCNT1
7001,PCA3,exact,PCA3
7002,VPS13A,exact,VPS13A
7003,GNAQ,exact,GNAQ
7004,CEP78,exact,CEP78
7005,PSAT1,exact,PSAT1
7006,TLE4,exact,TLE4
7007,TLE1,exact,TLE1
7008,AL158154.2,unmatched,
7009,FRMD3,exact,FRMD3
7010,IDNK,exact,IDNK
7011,UBQLN1,exact,UBQLN1
7012,AL354920.1,unmatched,
7013,GKAP1,exact,GKAP1
7014,KIF27,exact,KIF27
7015,C9orf64,unmatched,
7016,HNRNPK,exact,HNRNPK
7017,AL354733.3,unmatched,
7018,RMI1,exact,RMI1
7019,AGTPBP1,exact,AGTPBP1
7020,NAA35,exact,NAA35
7021,GOLM1,exact,GOLM1
7022,C9orf153,exact,C9orf153
7023,ISCA1,exact,ISCA1
7024,TUT7,exact,TUT7
7025,GAS1,exact,GAS1
7026,CTSL,exact,CTSL
7027,CDK20,exact,CDK20
7028,SPIN1,exact,SPIN1
7029,S1PR3,exact,S1PR3
7030,CKS2,exact,CKS2
7031,SECISBP2,exact,SECISBP2
7032,SEMA4D,exact,SEMA4D
7033,AL158071.5,unmatched,
7034,AUH,exact,AUH
7035,NFIL3,exact,NFIL3
7036,SPTLC1,exact,SPTLC1
7037,IARS,official_alias,IARS
7038,NOL8,exact,NOL8
7039,CENPP,exact,CENPP
7040,IPPK,exact,IPPK
7041,BICD2,exact,BICD2
7042,ZNF484,exact,ZNF484
7043,FGD3,exact,FGD3
7044,SUSD3,exact,SUSD3
7045,CARD19,exact,CARD19
7046,NINJ1,exact,NINJ1
7047,AL583839.1,unmatched,
7048,FAM120AOS,exact,FAM120AOS
7049,FAM120A,exact,FAM120A
7050,PHF2,exact,PHF2
7051,PTPDC1,exact,PTPDC1
7052,AL158152.1,unmatched,
7053,ZNF169,exact,ZNF169
7054,AL691447.2,unmatched,
7055,MFSD14B,exact,MFSD14B
7056,PCAT7,exact,PCAT7
7057,FBP1,exact,FBP1
7058,C9orf3,official_alias,C9orf3
7059,FANCC,exact,FANCC
7060,PTCH1,exact,PTCH1
7061,AL161729.1,unmatched,
7062,AL161729.4,unmatched,
7063,LINC00476,unmatched,
7064,ERCC6L2,exact,ERCC6L2
7065,LINC00092,exact,LINC00092
7066,SLC35D2,exact,SLC35D2
7067,ZNF367,exact,ZNF367
7068,HABP4,exact,HABP4
7069,CDC14B,exact,CDC14B
7070,AAED1,official_alias,AAED1
7071,AL589843.1,unmatched,
7072,ZNF510,exact,ZNF510
7073,ZNF782,exact,ZNF782
7074,MFSD14C,unmatched,
7075,AL590705.1,unmatched,
7076,CCDC180,exact,CCDC180
7077,TDRD7,exact,TDRD7
7078,TMOD1,exact,TMOD1
7079,TSTD2,exact,TSTD2
7080,NCBP1,exact,NCBP1
7081,XPA,exact,XPA
7082,TRMO,exact,TRMO
7083,HEMGN,exact,HEMGN
7084,ANP32B,exact,ANP32B
7085,NANS,exact,NANS
7086,TRIM14,exact,TRIM14
