resample_id,target_index,comparison,pathway,representation,seed,mapping_changed_fraction,norm_max_difference,raw_p,adjusted_p,qval,score,significant,canonical_true_score,resampled_true_score,true_minus_control_score
1.0,7.0,cd4_0h_vs_12h,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,true,,0.0,0.0,6.1774102028672e-07,7.59821454952666e-05,2.02960302707371,6.20919355894615,True,2.238338588554161,6.20919355894615,0.0
1.0,8.0,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,permuted,20468813.0,0.976190476190476,0.0,3.52341775794401e-06,0.000433380384227113,1.83388406114409,5.45303586115776,True,3.2246170096791245,2.23833858855416,-3.2146972726036003
1.0,8.0,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,random,20478813.0,1.0,1.11022302462516e-16,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True,3.2246170096791245,2.23833858855416,-2.1804343529496206
1.0,8.0,cd4_0h_vs_12h,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,true,,0.0,0.0,0.00577645522630862,0.71050399283596,0.385270654364906,2.23833858855416,False,3.2246170096791245,2.23833858855416,0.0
1.0,9.0,cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,permuted,20469813.0,1.0,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True,2.958734584976284,3.22461700967912,-0.2788837084028799
1.0,9.0,cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,random,20479813.0,1.0,1.11022302462516e-16,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True,2.958734584976284,3.22461700967912,-0.2788837084028799
1.0,9.0,cd4_0h_vs_12h,REACTOME_METABOLISM_OF_STEROID_HORMONES,true,,0.0,0.0,0.00059618767048381,0.0733310834695086,1.06522856619588,3.22461700967912,False,2.958734584976284,3.22461700967912,0.0
1.0,10.0,cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,permuted,20470813.0,1.0,0.0,2.46964030878651e-07,3.03765757980741e-05,2.12543199928726,6.60736629503362,True,3.2246170096791245,10.2782691676256,3.670902872591981
1.0,10.0,cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,random,20480813.0,1.0,2.22044604925031e-16,8.03548663493119e-06,0.000988364856096536,1.73351743731473,5.09498781691362,True,3.2246170096791245,10.2782691676256,5.18328135071198
1.0,10.0,cd4_0h_vs_12h,REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,true,,0.0,0.0,5.26903195422322e-11,6.48090930369456e-09,2.8615317674606,10.2782691676256,True,3.2246170096791245,10.2782691676256,0.0
