comparison,comparison_class,group_a,group_b,pathway,source_database,n_primary_paired_genes,vanilla_raw_p,genept_raw_p,l2_raw_p,vanilla_adjusted_p,vanilla_qval,vanilla_rank,genept_adjusted_p,genept_qval,genept_rank,l2_adjusted_p,l2_qval,l2_rank,rank_delta
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,HALLMARK_BILE_ACID_METABOLISM,HALLMARK,80,4.66051712619044e-12,2.46964030878651e-07,3.59717677613814e-08,5.73243606521424e-10,3.04000999674796,13.0,3.03765757980741e-05,2.12543199928726,22.5,4.42452743464991e-06,2.31389997788891,15.5,9.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK,129,3.56749691091583e-16,3.56749691091583e-16,1.32240927298422e-12,4.38802120042647e-14,3.65482301662173,6.0,4.38802120042647e-14,3.65482301662173,1.0,1.62656340577059e-10,3.12869445657952,4.0,-5.0
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,HALLMARK_GLYCOLYSIS,HALLMARK,167,4.66051712619044e-12,1.69038678268048e-10,5.25612166428945e-10,5.73243606521424e-10,3.04000999674796,13.0,2.07917574269699e-08,2.77166173987722,7.5,6.46502964707602e-08,2.68131114927169,9.0,-5.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,HALLMARK_HEME_METABOLISM,HALLMARK,166,1.69038678268048e-10,4.62765891657924e-09,3.63636990445739e-13,2.07917574269699e-08,2.77166173987722,19.0,5.69202046739247e-07,2.49894648741163,10.5,4.47273498248259e-11,3.21705250715417,2.0,-8.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK,198,7.93240113799911e-19,6.26163235949069e-15,2.46964030878651e-07,9.75685339973891e-17,4.00133605441897,3.5,7.70180780217355e-13,3.48043205986735,2.0,3.03765757980741e-05,2.12543199928726,21.0,-1.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG,25,0.420283707542506,0.420283707542506,0.974075350370635,1.0,0.0,94.5,1.0,0.0,92.0,1.0,0.0,84.5,-2.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG,41,0.0731481276708723,0.351986208769717,0.00196887460329715,1.0,0.0,94.5,1.0,0.0,92.0,0.242171576205549,0.784778205325666,42.0,-2.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,KEGG_ARACHIDONIC_ACID_METABOLISM,KEGG,27,0.0513887607461245,0.0233436169134307,0.999905146038811,1.0,0.0,94.5,1.0,0.0,92.0,1.0,0.0,84.5,-2.5
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG,42,0.0034223189265975,0.136726085875245,0.0513887607461245,0.420945227971492,0.613004412282997,63.0,1.0,0.0,92.0,1.0,0.0,84.5,29.0
cd4_12h_vs_24h,CD4 activation,cd4_12h,cd4_24h,KEGG_BETA_ALANINE_METABOLISM,KEGG,20,0.00059618767048381,0.0010996776918826,0.8532336682836,0.0733310834695086,1.06522856619588,54.0,0.13526035610156,0.932110226066041,54.5,1.0,0.0,84.5,0.5
