comparison,comparison_class,group_a,group_b,pathway,source_database,n_primary_paired_genes,vanilla_raw_p,genept_raw_p,l2_raw_p,vanilla_adjusted_p,vanilla_qval,vanilla_rank,genept_adjusted_p,genept_qval,genept_rank,l2_adjusted_p,l2_qval,l2_rank,rank_delta
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,HALLMARK_BILE_ACID_METABOLISM,HALLMARK,80,1.88172961555773e-22,1.51832696460245e-15,1.59181018210258e-19,2.31452742713601e-20,4.43120047712397,57.0,1.86754216646101e-13,3.56773451697946,68.5,1.95792652398617e-17,4.08756695482739,46.5,11.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK,129,3.10300075394096e-56,1.80506049595553e-57,2.30378015681818e-39,3.81669092734738e-54,7.30878327818353,15.0,2.2202244100253e-55,7.39280752670128,8.0,2.83364959288636e-37,6.04546556150295,19.5,-7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,HALLMARK_GLYCOLYSIS,HALLMARK,167,1.50320800799138e-62,3.10300075394096e-56,3.5832750622883e-65,1.8489458498294e-60,7.72871760435449,8.0,3.81669092734738e-54,7.30878327818353,9.0,4.40742832661461e-63,7.89656980855909,3.0,1.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,HALLMARK_HEME_METABOLISM,HALLMARK,166,1.47081922378297e-43,1.2142601243758e-44,1.2142601243758e-44,1.80910764525305e-41,6.38298798299401,25.5,1.49353995298223e-42,6.46728560953495,21.0,1.49353995298223e-42,6.46728560953495,14.0,-4.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK,198,1.80506049595553e-57,2.88951080642189e-50,1.97446409297483e-34,2.2202244100253e-55,7.39280752670128,13.0,3.55409829189892e-48,6.88834309290313,12.5,2.42859083435904e-32,5.6226902500821,28.0,-0.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG,25,3.63636990445739e-13,6.26163235949069e-15,3.81265104892234e-05,4.47273498248259e-11,3.21705250715417,85.0,7.70180780217355e-13,3.48043205986735,70.5,0.00468956079017448,1.52606285259303,80.5,-14.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG,41,1.88172961555773e-22,2.02359123709369e-26,1.59181018210258e-19,2.31452742713601e-20,4.43120047712397,57.0,2.48901722162524e-24,4.8583919251618,50.0,1.95792652398617e-17,4.08756695482739,46.5,-7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_ARACHIDONIC_ACID_METABOLISM,KEGG,27,3.09496350762679e-20,1.51832696460245e-15,0.00577645522630862,3.80680511438095e-18,4.17366018692138,61.0,1.86754216646101e-13,3.56773451697946,68.5,0.71050399283596,0.385270654364906,86.0,7.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG,42,1.22945752304217e-31,1.74044651351705e-33,3.22386287426281e-23,1.51223275334187e-29,5.36846173124281,44.0,2.14074921162597e-31,5.53799911585799,34.0,3.96535133534326e-21,4.51682613430929,39.0,-10.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_BETA_ALANINE_METABOLISM,KEGG,20,1.97446409297483e-34,1.22945752304217e-31,6.26163235949069e-15,2.42859083435904e-32,5.6226902500821,38.0,1.51223275334187e-29,5.36846173124281,37.5,7.70180780217355e-13,3.48043205986735,61.0,-0.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG,19,4.66051712619044e-12,5.26903195422322e-11,0.0731481276708723,5.73243606521424e-10,3.04000999674796,88.5,6.48090930369456e-09,2.8615317674606,83.0,1.0,0.0,105.0,-5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_BUTANOATE_METABOLISM,KEGG,27,9.6901238729472e-14,4.62765891657924e-09,3.81265104892234e-05,1.19188523637251e-11,3.30511203436503,83.0,5.69202046739247e-07,2.49894648741163,90.0,0.00468956079017448,1.52606285259303,80.5,7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG,27,1.47081922378297e-43,5.64515213957662e-48,2.30378015681818e-39,1.80910764525305e-41,6.38298798299401,25.5,6.94353713167924e-46,6.72000143137603,15.0,2.83364959288636e-37,6.04546556150295,19.5,-10.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,KEGG,21,2.16992282193367e-35,2.95907259463446e-27,4.66051712619044e-12,2.66900507097841e-33,5.70733305503311,36.5,3.63965929140039e-25,4.94357555507811,47.5,5.73243606521424e-10,3.04000999674796,63.0,11.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,KEGG,21,1.48621351989098e-32,7.64935813137827e-30,8.12221035323039e-17,1.82804262946591e-30,5.45325716254541,41.0,9.40871050159527e-28,5.19869886550005,39.5,9.99031873447338e-15,3.74171359883095,56.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_ETHER_LIPID_METABOLISM,KEGG,19,3.52341775794401e-06,0.00059618767048381,0.94372001658599,0.000433380384227113,1.83388406114409,104.5,0.0733310834695086,1.06522856619588,110.0,1.0,0.0,105.0,5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_FATTY_ACID_METABOLISM,KEGG,33,3.56749691091583e-16,9.5725425402497e-08,1.69038678268048e-10,4.38802120042647e-14,3.65482301662173,77.0,1.17742273245071e-05,2.2201503515613,94.5,2.07917574269699e-08,2.77166173987722,65.5,17.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG,29,7.52266227767014e-47,5.64515213957662e-48,5.75320940055457e-29,9.25287460153427e-45,6.63579108498122,20.5,6.94353713167924e-46,6.72000143137603,15.0,7.07644756268212e-27,5.11372513019191,34.0,-5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GALACTOSE_METABOLISM,KEGG,21,6.1774102028672e-07,3.52341775794401e-06,0.0731481276708723,7.59821454952666e-05,2.02960302707371,101.0,0.000433380384227113,1.83388406114409,99.5,1.0,0.0,105.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLUTATHIONE_METABOLISM,KEGG,35,7.52266227767014e-47,8.33444467086926e-54,1.74044651351705e-33,9.25287460153427e-45,6.63579108498122,20.5,1.02513669451692e-51,7.14067351310356,10.5,2.14074921162597e-31,5.53799911585799,31.0,-10.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCEROLIPID_METABOLISM,KEGG,40,2.5022986233163e-14,3.63636990445739e-13,1.58410791482518e-09,3.07782730667905e-12,3.39289783983849,80.5,4.47273498248259e-11,3.21705250715417,75.0,1.94845273523497e-07,2.59042662985857,67.5,-5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG,58,1.79179957151977e-17,1.79179957151977e-17,3.56749691091583e-16,2.20391347296932e-15,3.8284207527596,68.5,2.20391347296932e-15,3.8284207527596,63.0,4.38802120042647e-14,3.65482301662173,58.0,-5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG,25,1.48621351989098e-32,1.74044651351705e-33,1.51832696460245e-15,1.82804262946591e-30,5.45325716254541,41.0,2.14074921162597e-31,5.53799911585799,34.0,1.86754216646101e-13,3.56773451697946,59.5,-7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,42,1.66784792300912e-66,2.93519064722899e-61,3.10300075394096e-56,2.05145294530122e-64,7.98047231936218,7.0,3.61028449609166e-59,7.64476674422825,6.5,3.81669092734738e-54,7.30878327818353,6.0,-0.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,KEGG,18,0.000313688994347936,0.0010996776918826,0.999303153456956,0.0385837463047961,1.18894726823464,114.5,0.13526035610156,0.932110226066041,113.5,1.0,0.0,105.0,-1.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,KEGG,17,0.920433755749286,0.890501459250417,1.0,1.0,0.0,121.5,1.0,0.0,120.0,1.0,0.0,105.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,KEGG,17,0.0010996776918826,0.00946978291842922,0.999999999998182,0.13526035610156,0.932110226066041,118.0,1.0,0.0,120.0,1.0,0.0,105.0,2.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,KEGG,18,0.999999688444276,0.999999953910873,1.0,1.0,0.0,121.5,1.0,0.0,120.0,1.0,0.0,105.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,KEGG,24,6.1774102028672e-07,9.5725425402497e-08,0.00196887460329715,7.59821454952666e-05,2.02960302707371,101.0,1.17742273245071e-05,2.2201503515613,94.5,0.242171576205549,0.784778205325666,85.0,-6.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_HISTIDINE_METABOLISM,KEGG,21,4.62765891657924e-09,2.46964030878651e-07,0.998724216773701,5.69202046739247e-07,2.49894648741163,96.5,3.03765757980741e-05,2.12543199928726,97.5,1.0,0.0,105.0,1.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_INOSITOL_PHOSPHATE_METABOLISM,KEGG,50,1.96163468973393e-41,2.38256076949142e-37,5.64515213957662e-48,2.41281066837273e-39,6.21429615930473,29.5,2.93054974647445e-35,5.87648286835015,28.0,6.94353713167924e-46,6.72000143137603,10.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG,23,9.85281827681361e-31,7.64935813137827e-30,5.26903195422322e-11,1.21189664804807e-28,5.2836099795242,46.5,9.40871050159527e-28,5.19869886550005,39.5,6.48090930369456e-09,2.8615317674606,64.0,-7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,KEGG,19,1.79179957151977e-17,1.32240927298422e-12,7.93371655046569e-05,2.20391347296932e-15,3.8284207527596,68.5,1.62656340577059e-10,3.12869445657952,78.0,0.0097584713570728,1.417962696362,82.0,9.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_NITROGEN_METABOLISM,KEGG,17,1.58410791482518e-09,5.25612166428945e-10,0.983130561728571,1.94845273523497e-07,2.59042662985857,94.5,6.46502964707602e-08,2.68131114927169,87.5,1.0,0.0,105.0,-7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG,107,1.80506049595553e-57,7.52266227767014e-47,7.52266227767014e-47,2.2202244100253e-55,7.39280752670128,13.0,9.25287460153427e-45,6.63579108498122,18.5,9.25287460153427e-45,6.63579108498122,11.5,5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,22,1.79179957151977e-17,3.22386287426281e-23,3.59717677613814e-08,2.20391347296932e-15,3.8284207527596,68.5,3.96535133534326e-21,4.51682613430929,55.5,4.42452743464991e-06,2.31389997788891,71.0,-13.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,KEGG,20,9.6901238729472e-14,3.63636990445739e-13,1.31042954439412e-08,1.19188523637251e-11,3.30511203436503,83.0,4.47273498248259e-11,3.21705250715417,75.0,1.61182833960477e-06,2.40679895558663,69.0,-8.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_PROPANOATE_METABOLISM,KEGG,29,1.72581468066588e-42,1.97446409297483e-34,1.74044651351705e-33,2.12275205721903e-40,6.29865864526407,27.5,2.42859083435904e-32,5.6226902500821,31.0,2.14074921162597e-31,5.53799911585799,31.0,3.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_PURINE_METABOLISM,KEGG,127,5.55162487718189e-60,8.33444467086926e-54,1.01711850726945e-58,6.82849859893372e-58,7.56079855407902,9.5,1.02513669451692e-51,7.14067351310356,10.5,1.25105576394142e-56,7.47681237773475,4.0,1.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_PYRIMIDINE_METABOLISM,KEGG,90,2.16992282193367e-35,1.97446409297483e-34,2.02359123709369e-26,2.66900507097841e-33,5.70733305503311,36.5,2.42859083435904e-32,5.6226902500821,31.0,2.48901722162524e-24,4.8583919251618,37.0,-5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_PYRUVATE_METABOLISM,KEGG,33,1.2142601243758e-44,7.52266227767014e-47,1.96163468973393e-41,1.49353995298223e-42,6.46728560953495,23.5,9.25287460153427e-45,6.63579108498122,18.5,2.41281066837273e-39,6.21429615930473,16.0,-5.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_RETINOL_METABOLISM,KEGG,17,0.000313688994347936,0.0233436169134307,0.999999999929255,0.0385837463047961,1.18894726823464,114.5,1.0,0.0,120.0,1.0,0.0,105.0,5.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_SELENOAMINO_ACID_METABOLISM,KEGG,22,1.79179957151977e-17,3.83002735523869e-18,1.69038678268048e-10,2.20391347296932e-15,3.8284207527596,68.5,4.71093364694359e-16,3.91495760037264,60.5,2.07917574269699e-08,2.77166173987722,65.5,-8.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_SPHINGOLIPID_METABOLISM,KEGG,32,1.69038678268048e-10,1.77726970010602e-05,0.49107566468588,2.07917574269699e-08,2.77166173987722,90.5,0.0021860417311304,1.63105534906276,102.5,1.0,0.0,105.0,12.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG,21,1.69038678268048e-10,2.46964030878651e-07,0.420283707542506,2.07917574269699e-08,2.77166173987722,90.5,3.03765757980741e-05,2.12543199928726,97.5,1.0,0.0,105.0,7.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_TRYPTOPHAN_METABOLISM,KEGG,24,1.79179957151977e-17,4.66051712619044e-12,0.00059618767048381,2.20391347296932e-15,3.8284207527596,68.5,5.73243606521424e-10,3.04000999674796,81.0,0.0733310834695086,1.06522856619588,83.0,12.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,KEGG_TYROSINE_METABOLISM,KEGG,24,1.79179957151977e-17,3.56749691091583e-16,1.77726970010602e-05,2.20391347296932e-15,3.8284207527596,68.5,4.38802120042647e-14,3.65482301662173,67.0,0.0021860417311304,1.63105534906276,79.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_ARACHIDONIC_ACID_METABOLISM,REACTOME,35,2.95907259463446e-27,3.22386287426281e-23,3.63636990445739e-13,3.63965929140039e-25,4.94357555507811,52.5,3.96535133534326e-21,4.51682613430929,55.5,4.47273498248259e-11,3.21705250715417,62.0,3.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,REACTOME,23,1.77726970010602e-05,0.0010996776918826,0.999809962501969,0.0021860417311304,1.63105534906276,109.0,0.13526035610156,0.932110226066041,113.5,1.0,0.0,105.0,4.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_BIOLOGICAL_OXIDATIONS,REACTOME,113,5.16705525856272e-55,5.64515213957662e-48,2.30378015681818e-39,6.35547796803215e-53,7.22473887296078,16.0,6.94353713167924e-46,6.72000143137603,15.0,2.83364959288636e-37,6.04546556150295,19.5,-1.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,REACTOME,67,3.09496350762679e-20,1.34067800027187e-25,1.88172961555773e-22,3.80680511438095e-18,4.17366018692138,61.0,1.6490339403344e-23,4.77313004281636,51.0,2.31452742713601e-20,4.43120047712397,40.5,-10.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,REACTOME,21,2.5022986233163e-14,8.12221035323039e-17,9.5725425402497e-08,3.07782730667905e-12,3.39289783983849,80.5,9.99031873447338e-15,3.74171359883095,65.5,1.17742273245071e-05,2.2201503515613,73.5,-15.0
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_CHOLESTEROL_BIOSYNTHESIS,REACTOME,25,1.32240927298422e-12,1.69038678268048e-10,8.03548663493119e-06,1.62656340577059e-10,3.12869445657952,86.5,2.07917574269699e-08,2.77166173987722,85.0,0.000988364856096536,1.73351743731473,78.0,-1.5
cd4_0h_vs_24h,CD4 activation positive-control-like benchmark,cd4_0h,cd4_24h,REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,REACTOME,34,4.66051712619044e-12,4.66051712619044e-12,0.0731481276708723,5.73243606521424e-10,3.04000999674796,88.5,5.73243606521424e-10,3.04000999674796,81.0,1.0,0.0,105.0,-7.5
