pathway,scenario,draw_id,inference_unit,truth_fallback_used,null_truth_fallback_used,gene_count,truth_count,vanilla_ap_strength_0_5,vanilla_ap_strength_1_0,genept_ap_strength_0_5,genept_ap_strength_1_0,vanilla_raw_ap,genept_raw_ap,vanilla_matched_null_ap,genept_matched_null_ap,vanilla_calibrated_ap,genept_calibrated_ap,raw_genept_minus_vanilla_ap,null_genept_minus_vanilla_ap,calibrated_did
KEGG_BUTANOATE_METABOLISM,mean_shift,1,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.36635706914344685,0.6383333333333333,0.643073593073593,0.8526315789473685,0.5023452012383901,0.7478525860104808,0.7,0.4473809523809524,-0.19765479876160985,0.3004716336295284,0.24550738477209066,-0.2526190476190476,0.49812643239113824
KEGG_BUTANOATE_METABOLISM,mean_shift,2,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.33929824561403504,0.8392857142857142,0.3856644880174292,0.6422222222222222,0.5892919799498746,0.5139433551198257,0.4424908424908424,0.16133567957097367,0.14680113745903217,0.35260767554885203,-0.0753486248300489,-0.28115516291986875,0.20580653808981986
KEGG_BUTANOATE_METABOLISM,mean_shift,3,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.37047619047619046,0.9666666666666666,0.47214285714285714,0.9666666666666666,0.6685714285714285,0.7194047619047619,0.7,0.4473809523809524,-0.03142857142857147,0.2720238095238095,0.0508333333333334,-0.2526190476190476,0.303452380952381
KEGG_BUTANOATE_METABOLISM,mean_shift,4,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.4671052631578948,1.0,0.7268115942028985,1.0,0.7335526315789473,0.8634057971014493,0.41749084249084245,0.1563356795709737,0.3160617890881049,0.7070701175304756,0.12985316552250192,-0.26115516291986873,0.39100832844237066
KEGG_BUTANOATE_METABOLISM,mean_shift,5,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.3277777777777777,0.7783333333333333,0.7742424242424242,0.8666666666666666,0.5530555555555555,0.8204545454545453,0.36928571428571433,0.19893772893772893,0.1837698412698412,0.6215168165168163,0.2673989898989898,-0.1703479853479854,0.43774697524697515
KEGG_BUTANOATE_METABOLISM,mean_shift,6,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.3400572082379863,0.885,0.7342424242424243,0.9111111111111111,0.6125286041189931,0.8226767676767677,0.45082417582417583,0.32532428355957765,0.1617044282948173,0.49735248411719,0.21014816355777455,-0.12549989226459818,0.3356480558223727
KEGG_BUTANOATE_METABOLISM,mean_shift,7,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.16862041467304625,0.6935897435897436,0.700952380952381,0.8314285714285713,0.4311050791313949,0.7661904761904761,0.6026190476190476,0.43750915750915753,-0.1715139684876527,0.32868131868131856,0.3350853970590812,-0.16510989010989008,0.5001952871689712
KEGG_BUTANOATE_METABOLISM,mean_shift,8,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.582121212121212,0.8588235294117647,0.32429677873613794,1.0,0.7204723707664884,0.662148389368069,0.5424908424908426,0.32133567957097364,0.17798152827564584,0.3408127097970953,-0.05832398139841943,-0.22115516291986892,0.1628311815214495
KEGG_BUTANOATE_METABOLISM,mean_shift,9,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.22089466089466087,0.8909090909090909,0.6551282051282051,0.9666666666666666,0.5559018759018759,0.8108974358974359,0.6569230769230769,0.4627731092436974,-0.10102120102120105,0.3481243266537385,0.25499555999556,-0.19414996767937953,0.44914552767493954
KEGG_BUTANOATE_METABOLISM,mean_shift,10,pathway_scenario_draw_mean_across_strengths,False,False,27,5,0.576084656084656,1.0,0.6897243107769423,1.0,0.788042328042328,0.8448621553884712,0.6091575091575091,0.39375565610859725,0.17888481888481889,0.45110649927987395,0.056819827346143215,-0.21540185304891185,0.27222168039505507
