row_type,diagnostic,pathway,draw_id,method,feature,n_genes,truth_count,value,target_feature_rank_percentile_mean,non_target_feature_rank_percentile_mean,status
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,mean_expression,27,5,-0.1420255049572998,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,mean_expression,27,5,-0.14416618450437294,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,detection_fraction,27,5,-0.12107597277270893,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,detection_fraction,27,5,-0.1240073536202869,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,expression_sd,27,5,-0.14017701682336528,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,expression_sd,27,5,-0.14294443717806468,,,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,6,NA,mean_expression,27,5,0.44545454545454555,0.8814814814814815,0.436026936026936,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,6,NA,detection_fraction,27,5,0.4272727272727272,0.8666666666666666,0.4393939393939394,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,6,NA,expression_sd,27,5,0.44545454545454555,0.8814814814814815,0.436026936026936,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,mean_expression,27,5,0.6761202240644948,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,mean_expression,27,5,0.6444717146275994,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,detection_fraction,27,5,0.6616561136725826,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,detection_fraction,27,5,0.6304216203750546,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,expression_sd,27,5,0.6816596705975676,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,expression_sd,27,5,0.6493587039328325,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,mean_expression,27,5,-0.1420255049572998,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,mean_expression,27,5,-0.14416618450437294,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,detection_fraction,27,5,-0.12107597277270893,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,detection_fraction,27,5,-0.1240073536202869,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,expression_sd,27,5,-0.14017701682336528,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,expression_sd,27,5,-0.14294443717806468,,,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,7,NA,mean_expression,27,5,0.44545454545454555,0.8814814814814815,0.436026936026936,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,7,NA,detection_fraction,27,5,0.46363636363636357,0.8962962962962961,0.4326599326599326,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,7,NA,expression_sd,27,5,0.44545454545454555,0.8814814814814815,0.436026936026936,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,mean_expression,27,5,0.6761202240644948,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,mean_expression,27,5,0.6444717146275994,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,detection_fraction,27,5,0.6616561136725826,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,detection_fraction,27,5,0.6304216203750546,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,expression_sd,27,5,0.6816596705975676,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,expression_sd,27,5,0.6493587039328325,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,mean_expression,27,5,-0.1420255049572998,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,mean_expression,27,5,-0.14416618450437294,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,detection_fraction,27,5,-0.12107597277270893,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,detection_fraction,27,5,-0.1240073536202869,,,ESTIMATED
unit,spearman_masking_delta_vs_feature,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,expression_sd,27,5,-0.14017701682336528,,,ESTIMATED
unit,spearman_negative_rank_vs_feature,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,expression_sd,27,5,-0.14294443717806468,,,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,8,NA,mean_expression,27,5,0.4272727272727272,0.8666666666666666,0.4393939393939394,ESTIMATED
unit,truth_target_minus_non_target_feature_rank_percentile,KEGG_BUTANOATE_METABOLISM,8,NA,detection_fraction,27,5,0.409090909090909,0.8518518518518517,0.44276094276094274,ESTIMATED
