scope,pairing_unit,n,vanilla_raw_ap_mean,vanilla_raw_ap_median,genept_raw_ap_mean,genept_raw_ap_median,vanilla_calibrated_ap_mean,vanilla_calibrated_ap_median,genept_calibrated_ap_mean,genept_calibrated_ap_median,raw_genept_minus_vanilla_mean,raw_genept_minus_vanilla_median,null_genept_minus_vanilla_mean,null_genept_minus_vanilla_median,mean_calibrated_did,median_calibrated_did,did_sd,did_se,did_descriptive_ci95_low,did_descriptive_ci95_high,wilcoxon_statistic,wilcoxon_raw_p_value,wilcoxon_bonferroni_4_p_value,rank_biserial_genept_minus_vanilla
overall_non_null,pathway_scenario_draw_mean_across_strengths,660,0.48201272023543246,0.5064308793217975,0.5541004385399261,0.5669299729644557,0.1793651930419315,0.17661519987703092,0.21684391225838284,0.22667551137945877,0.07208771830449358,0.05501090777589315,0.03460899908804225,0.023318262852359772,0.03747871921645134,0.03704731425719417,0.2633721178424457,0.010251745783096409,0.017385297481582376,0.057572140951320294,91746.0,0.0006372698029366124,0.0025490792117464495,0.15367762705766774
mean_shift,pathway_scenario_draw_mean_across_strengths,220,0.5213072300760268,0.5541290401363312,0.6988713053716628,0.7274042159115247,0.21865970288252579,0.28593524531024533,0.3616147790901195,0.3610248447204968,0.177564075295636,0.1558175545276,0.03460899908804225,0.023318262852359772,0.1429550762075937,0.12570251490093123,0.272357777011158,0.01836235758017171,0.10696485535045716,0.17894529706473025,5601.0,6.65160780181849e-12,2.660643120727396e-11,0.5349937733499377
cell_subset,pathway_scenario_draw_mean_across_strengths,220,0.3814791471756203,0.34196187296221275,0.4118321642303211,0.3894121590700803,0.07883161998211935,0.07068256090314917,0.07457563794877792,0.06214559710508627,0.030353017054700806,0.03303046904611717,0.03460899908804225,0.023318262852359772,-0.004255982033341438,0.0005193041907589416,0.21585950567176712,0.014553244903528882,-0.032780342044258046,0.024268377977575167,11989.0,0.8605883699371233,1.0,-0.013656931303990127
mixed_direction,pathway_scenario_draw_mean_across_strengths,220,0.5432517834546503,0.5503581005051593,0.5515978460177943,0.5510417753920476,0.2406042562611493,0.24624739306063495,0.214341319736251,0.22733221855752958,0.008346062563143958,0.009401682776856601,0.03460899908804225,0.023318262852359772,-0.026262936524898296,-0.032410316695341,0.26635812291606875,0.017957860983598087,-0.06146034405275054,0.008934471002953952,10673.0,0.14388214326956886,0.5755285730782754,-0.11390618513906185
