row_type,scheme,population,status,pathway,draw_id,method,n_pathways,n_units,resamples,gene_count,truth_count,pool_size,eligible_pool_size,mean_ap,median_ap,sd_ap,exact_random_ap,mean_ap_minus_exact_chance,mean_genept_minus_vanilla_ap,mean_contrast_ap,median_contrast_ap,wilcoxon_p_value,rank_biserial,reason
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,genept_scpa,,1,1000,27,5,8,8,0.31336206792118554,0.35959048576695635,0.10944142549938515,0.27580063899080604,0.037561428930379503,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,vanilla_scpa,,1,1000,27,5,27,8,0.273727504714489,0.23747833232959087,0.11807611177300938,0.27580063899080604,-0.002073134276317057,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,genept_scpa,,1,1000,27,5,27,8,0.2731780191220465,0.24074929971988795,0.11117814267349833,0.27580063899080604,-0.002622619868759557,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,vanilla_scpa,,1,1000,27,5,8,8,0.5406873992673993,0.535952380952381,0.15348254283534665,0.27580063899080604,0.26488676027659325,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,4,genept_scpa,,1,1000,27,5,8,8,0.31040638284373573,0.35751322751322745,0.10787634276732093,0.27580063899080604,0.03460574385292969,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,5,vanilla_scpa,,1,1000,27,5,8,8,0.5460555311355311,0.5333333333333333,0.15366199401270325,0.27580063899080604,0.27025489214472503,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,,1,1000,27,5,8,8,0.31082127343244986,0.3589377289377289,0.10872532318629387,0.27580063899080604,0.03502063444164383,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,5,vanilla_scpa,,1,1000,27,5,27,8,0.2766628618731169,0.24138888888888888,0.11420487602731225,0.27580063899080604,0.0008622228823108591,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,,1,1000,27,5,27,8,0.28166717442783656,0.24625582750582747,0.11762817356405765,0.27580063899080604,0.005866535437030529,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,5,vanilla_scpa,,1,1000,27,5,8,8,0.5474461538461537,0.535952380952381,0.15507749099388934,0.27580063899080604,0.27164551485534766,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,5,genept_scpa,,1,1000,27,5,8,8,0.31098005805741097,0.3589377289377289,0.10938855373625175,0.27580063899080604,0.03517941906660493,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,,1,1000,27,5,8,8,0.5445050732600732,0.535952380952381,0.1568230025966508,0.27580063899080604,0.2687044342692672,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,,1,1000,27,5,8,8,0.30845531243266533,0.3589377289377289,0.11017057068835917,0.27580063899080604,0.032654673441859294,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,,1,1000,27,5,27,8,0.27129655417722326,0.24195006747638326,0.10854275453732988,0.27580063899080604,-0.004504084813582776,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,,1,1000,27,5,27,8,0.27035530748644676,0.23614241709442949,0.11125049293163114,0.27580063899080604,-0.005445331504359274,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,6,vanilla_scpa,,1,1000,27,5,8,8,0.5418679120879121,0.535952380952381,0.1520360923821775,0.27580063899080604,0.26606727309710604,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,6,genept_scpa,,1,1000,27,5,8,8,0.3098947261126673,0.35751322751322745,0.10901388178725258,0.27580063899080604,0.03409408712186124,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,,1,1000,27,5,8,8,0.5466859706959706,0.5424908424908426,0.15548713093199748,0.27580063899080604,0.27088533170516454,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,,1,1000,27,5,8,8,0.3121548416289593,0.35751322751322745,0.10931294176581982,0.27580063899080604,0.036354202638153255,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,,1,1000,27,5,27,8,0.2724244148983012,0.24030569430569432,0.1114378296073187,0.27580063899080604,-0.0033762240925048204,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,,1,1000,27,5,27,8,0.2664711793780172,0.23718880534670006,0.10839212649437312,0.27580063899080604,-0.00932945961278886,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,7,vanilla_scpa,,1,1000,27,5,8,8,0.5411383516483517,0.5333333333333333,0.15423610537960583,0.27580063899080604,0.26533771265754563,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,7,genept_scpa,,1,1000,27,5,8,8,0.3082063896669779,0.35751322751322745,0.10844442856964484,0.27580063899080604,0.03240575067617185,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,8,vanilla_scpa,,1,1000,27,5,8,8,0.5421148534798534,0.5333333333333333,0.15141724053781855,0.27580063899080604,0.2663142144890474,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,8,genept_scpa,,1,1000,27,5,8,8,0.3071222869831693,0.35623117623117617,0.11020237247414552,0.27580063899080604,0.031321647992363255,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,8,vanilla_scpa,,1,1000,27,5,27,8,0.2729033304317913,0.24293233082706767,0.11330821925541334,0.27580063899080604,-0.0028973085590147107,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,8,genept_scpa,,1,1000,27,5,27,8,0.27543352927599163,0.24388024013024012,0.1129489271356739,0.27580063899080604,-0.00036710971481440646,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,8,vanilla_scpa,,1,1000,27,5,8,8,0.5373190293040293,0.5333333333333333,0.1530658554477432,0.27580063899080604,0.26151839031322327,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,8,genept_scpa,,1,1000,27,5,8,8,0.30349830711771886,0.3549491249491249,0.1091432090967151,0.27580063899080604,0.027697668126912822,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,9,vanilla_scpa,,1,1000,27,5,8,8,0.5381007326007327,0.5333333333333333,0.15062989470650212,0.27580063899080604,0.2623000936099266,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,9,genept_scpa,,1,1000,27,5,8,8,0.307579651894946,0.3549491249491249,0.10692528897224715,0.27580063899080604,0.03177901290413998,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,9,vanilla_scpa,,1,1000,27,5,27,8,0.26983606957176126,0.24303778763749823,0.10800104275179585,0.27580063899080604,-0.005964569419044774,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,9,genept_scpa,,1,1000,27,5,27,8,0.27166278828564633,0.2395987345987346,0.11277250388653559,0.27580063899080604,-0.004137850705159707,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,9,vanilla_scpa,,1,1000,27,5,8,8,0.536315293040293,0.5333333333333333,0.15362408532025668,0.27580063899080604,0.260514654049487,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,9,genept_scpa,,1,1000,27,5,8,8,0.3068469048816107,0.3549491249491249,0.10982558845299782,0.27580063899080604,0.03104626589080467,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,10,vanilla_scpa,,1,1000,27,5,8,8,0.5379691575091574,0.5333333333333333,0.15679246154294543,0.27580063899080604,0.2621685185183514,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,10,genept_scpa,,1,1000,27,5,8,8,0.30388401218607103,0.3549491249491249,0.10910991770904112,0.27580063899080604,0.028083373195264993,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,10,vanilla_scpa,,1,1000,27,5,27,8,0.2702453050708184,0.23676209508623025,0.11175532763823065,0.27580063899080604,-0.005555333919987637,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,10,genept_scpa,,1,1000,27,5,27,8,0.27510516104675503,0.2396513453866395,0.11696356047939392,0.27580063899080604,-0.0006954779440510039,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,10,vanilla_scpa,,1,1000,27,5,8,8,0.5358471428571429,0.5333333333333333,0.14936999376764012,0.27580063899080604,0.2600465038663368,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,10,genept_scpa,,1,1000,27,5,8,8,0.3090864418587948,0.3549491249491249,0.10723148461003919,0.27580063899080604,0.03328580286798877,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,11,vanilla_scpa,,1,1000,27,5,8,8,0.5328105860805861,0.5174908424908425,0.15427216336136915,0.27580063899080604,0.25700994708978003,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,11,genept_scpa,,1,1000,27,5,8,8,0.3006893699873111,0.32532428355957765,0.1120771473485251,0.27580063899080604,0.02488873099650507,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,11,vanilla_scpa,,1,1000,27,5,27,8,0.2795195704863654,0.24478449637488542,0.11723051598921909,0.27580063899080604,0.003718931495559352,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,11,genept_scpa,,1,1000,27,5,27,8,0.2728258345878806,0.23620494240059456,0.1157699598989414,0.27580063899080604,-0.002974804402925413,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,11,vanilla_scpa,,1,1000,27,5,8,8,0.5367745238095237,0.535952380952381,0.1538549437460506,0.27580063899080604,0.2609738848187177,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,11,genept_scpa,,1,1000,27,5,8,8,0.30756974706121765,0.3549491249491249,0.10990360828874506,0.27580063899080604,0.03176910807041161,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,12,vanilla_scpa,,1,1000,27,5,8,8,0.5381851282051282,0.5333333333333333,0.15769811852474747,0.27580063899080604,0.26238448921432217,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,12,genept_scpa,,1,1000,27,5,8,8,0.3087049493643611,0.3582254782254782,0.10783053863884107,0.27580063899080604,0.03290431037355507,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,12,vanilla_scpa,,1,1000,27,5,27,8,0.2756488856369696,0.2409980565243723,0.1106994399338774,0.27580063899080604,-0.00015175335383643684,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,12,genept_scpa,,1,1000,27,5,27,8,0.27538645656356275,0.23804631997726627,0.11860033630976642,0.27580063899080604,-0.00041418242724328147,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,12,vanilla_scpa,,1,1000,27,5,8,8,0.5343316849816849,0.5174908424908425,0.15081902608021916,0.27580063899080604,0.2585310459908789,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,12,genept_scpa,,1,1000,27,5,8,8,0.3051941715147597,0.3549491249491249,0.10794654885155397,0.27580063899080604,0.029393532523953658,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,13,vanilla_scpa,,1,1000,27,5,8,8,0.531430641025641,0.5174908424908425,0.15866771225646373,0.27580063899080604,0.25563000203483494,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,13,genept_scpa,,1,1000,27,5,8,8,0.30154086918528095,0.3499491249491249,0.11016126091267371,0.27580063899080604,0.02574023019447491,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,13,vanilla_scpa,,1,1000,27,5,27,8,0.27983113857675057,0.2465787207961121,0.12048479024709695,0.27580063899080604,0.004030499585944536,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,13,genept_scpa,,1,1000,27,5,27,8,0.2805339960931517,0.2449261205782945,0.1181782041753805,0.27580063899080604,0.004733357102345681,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,13,vanilla_scpa,,1,1000,27,5,8,8,0.5386828205128205,0.5333333333333333,0.15396447673238245,0.27580063899080604,0.2628821815220144,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,13,genept_scpa,,1,1000,27,5,8,8,0.3024553336206277,0.3499491249491249,0.110133544458714,0.27580063899080604,0.026654694629821674,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,14,vanilla_scpa,,1,1000,27,5,8,8,0.5435296520146519,0.5424908424908426,0.14774891729921064,0.27580063899080604,0.26772901302384583,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,14,genept_scpa,,1,1000,27,5,8,8,0.3119218385644856,0.35623117623117617,0.10840437884805322,0.27580063899080604,0.03612119957367954,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,14,vanilla_scpa,,1,1000,27,5,27,8,0.2741128325221141,0.2385560492139439,0.11604429501135093,0.27580063899080604,-0.0016878064686919325,,,,,,
unit,B_PATHWAY_WIDE_UNIFORM,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,14,genept_scpa,,1,1000,27,5,27,8,0.27345144408500016,0.2395538259470148,0.11537693937070087,0.27580063899080604,-0.0023491949058058736,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,14,vanilla_scpa,,1,1000,27,5,8,8,0.5391758974358973,0.5333333333333333,0.15114089925749613,0.27580063899080604,0.2633752584450913,,,,,,
unit,C_PHASE7_FALLBACK_MATCHED,ALL_11,ESTIMATED,KEGG_BUTANOATE_METABOLISM,14,genept_scpa,,1,1000,27,5,8,8,0.30815527783763075,0.35751322751322745,0.10901216825819317,0.27580063899080604,0.03235463884682471,,,,,,
unit,A_ELIGIBLE_POOL_MATCHED,FEASIBLE_9,ESTIMATED,KEGG_BUTANOATE_METABOLISM,15,vanilla_scpa,,1,1000,27,5,8,8,0.5423684615384616,0.5424908424908426,0.15257929822446573,0.27580063899080604,0.2665678225476556,,,,,,
